1_G137.1;2_G36.31;13_G-56.47;22_G63.29;23_G40.43;27_G-10.61
-1.0;132.165;144.315;141.47647;138.51;137.16
132.57;132.165;-1.0;139.48259;138.51;137.16
-1.0;132.165;144.315;141.49982;138.51;137.16
132.57;132.165;144.315;140.60287;138.51;-1.0
-1.0;132.165;144.315;141.80617;138.51;137.16
132.57;132.165;144.315;141.47025;138.51;137.16
-1.0;132.165;144.315;141.41881;138.51;137.16
132.57;132.165;144.315;141.52545;138.51;137.16
132.57;132.165;-1.0;140.05833;138.51;137.16
132.57;132.165;144.315;141.5563;138.51;137.16
132.57;-1.0;144.315;141.75763;138.51;137.16
132.57;132.165;144.315;141.71649;138.51;137.16
132.57;132.165;-1.0;140.05917;138.51;137.16
132.57;132.165;-1.0;136.86707;-1.0;137.16
132.57;132.165;-1.0;139.7009;138.51;137.16
132.57;132.165;144.315;140.76555;138.51;-1.0
132.57;132.165;144.315;141.28336;138.51;137.16
132.57;132.165;144.315;140.89069;-1.0;137.16
132.57;132.165;144.315;141.11343;138.51;137.16
132.57;132.165;144.315;141.09691;138.51;137.16
132.57;132.165;144.315;140.55344;138.51;-1.0
132.57;132.165;144.315;141.32555;138.51;137.16
132.57;132.165;144.315;141.3544;138.51;137.16
132.57;132.165;144.315;141.52177;138.51;137.16
132.57;132.165;144.315;141.01532;-1.0;137.16
132.57;132.165;144.315;141.41385;138.51;137.16
132.57;132.165;144.315;140.67342;138.51;-1.0
132.57;132.165;144.315;141.38;138.51;137.16
132.57;132.165;144.315;141.38539;138.51;137.16
132.57;132.165;144.315;141.37935;138.51;137.16
-1.0;132.165;144.315;141.51225;138.51;137.16
132.57;132.165;144.315;141.6074;138.51;137.16
132.57;132.165;144.315;141.67758;138.51;137.16
132.57;132.165;144.315;141.79451;138.51;137.16
132.57;132.165;-1.0;139.46677;138.51;-1.0
132.57;132.165;144.315;-1.0;138.51;137.16
132.57;132.165;144.315;141.72223;138.51;137.16
-1.0;132.165;144.315;141.64641;138.51;137.16
132.57;132.165;-1.0;139.90851;138.51;137.16
-1.0;132.165;144.315;141.28023;-1.0;137.16
132.57;132.165;144.315;141.22482;138.51;137.16
132.57;132.165;144.27205;-1.0;138.51;137.16
132.57;132.165;144.315;141.09677;138.51;137.16
132.57;132.165;144.315;141.02795;138.51;137.16
132.57;132.165;144.315;141.41716;138.51;137.16
132.57;132.165;144.315;141.20308;-1.0;137.16
-1.0;132.165;144.315;141.59702;138.51;137.16
132.57;132.165;144.315;141.46677;138.51;137.16
132.57;132.165;144.315;141.57541;138.51;137.16
132.57;132.165;144.315;141.23186;138.51;137.16
132.57;132.165;144.315;141.4699;138.51;137.16
132.57;132.165;144.315;141.43062;138.51;137.16
132.57;132.165;144.315;141.44298;138.51;137.16
132.57;132.165;144.315;141.32695;138.51;137.16
132.57;132.165;144.315;141.48499;138.51;137.16
-1.0;-1.0;144.315;141.58781;138.51;137.16
132.57;132.165;144.315;-1.0;138.51;137.16
132.57;132.165;144.315;141.8725;138.51;137.16
132.57;-1.0;-1.0;140.226;138.51;137.16
132.57;132.165;144.315;-1.0;138.51;137.16
132.57;132.165;144.315;141.86613;138.51;137.16
132.57;132.165;144.315;141.7751;138.51;137.16
132.57;132.165;144.315;-1.0;138.51;137.16
132.57;132.165;144.315;141.48546;138.51;137.16
132.57;132.165;144.315;140.97939;138.51;-1.0
132.57;132.165;144.315;141.30042;138.51;137.16
132.57;132.165;144.315;-1.0;138.51;137.16
132.57;132.165;-1.0;140.00575;138.51;137.16
132.57;132.165;144.315;140.84848;138.51;-1.0
132.57;132.165;144.315;141.60602;138.51;137.16
132.57;-1.0;-1.0;139.74821;138.51;137.16
132.57;132.165;-1.0;-1.0;136.32228;137.16
132.57;132.165;144.315;141.60791;138.51;137.16
132.57;132.165;144.315;141.74771;138.51;137.16
132.57;132.165;144.315;141.56424;138.51;137.16
132.57;132.165;144.315;141.02171;138.51;-1.0
132.57;132.165;144.315;141.3157;-1.0;137.16
132.57;132.165;144.315;141.6276;138.51;137.16
132.57;132.165;144.315;141.4214;138.51;137.16
132.57;132.165;144.315;141.76945;138.51;137.16
132.57;-1.0;144.315;141.92027;138.51;137.16
132.57;132.165;144.315;141.29951;138.51;-1.0
132.57;132.165;144.315;141.97946;138.51;137.16
-1.0;132.165;141.08586;-1.0;-1.0;137.16
132.57;132.165;144.315;141.88405;138.51;137.16
132.57;132.165;144.315;141.84767;138.51;137.16
132.57;132.165;144.315;141.83614;138.51;137.16
132.57;132.165;144.315;141.73038;138.51;137.16
132.57;132.165;144.315;-1.0;138.51;137.16
132.57;132.165;144.315;141.5305;138.51;137.16
132.57;132.165;144.315;141.59308;138.51;137.16
132.57;132.165;-1.0;139.9964;138.51;137.16
132.57;132.165;144.315;141.58333;138.51;137.16
132.57;132.165;144.315;141.48373;-1.0;137.16
132.57;132.165;-1.0;140.24081;138.51;137.16
132.57;132.165;144.315;141.78427;138.51;137.16
132.57;132.165;144.315;141.8037;138.51;137.16
132.57;132.165;144.315;-1.0;138.51;137.16
132.57;132.165;144.315;141.7622;138.51;137.16
132.57;132.165;144.315;141.76231;138.51;137.16
132.57;132.165;144.315;141.80244;138.51;137.16
132.57;132.165;-1.0;140.19592;138.51;137.16
132.57;132.165;144.315;141.72482;138.51;137.16
132.57;132.165;144.315;141.66658;138.51;137.16
132.57;-1.0;144.315;141.63;138.51;137.16
132.57;132.165;144.22655;-1.0;138.51;-1.0
132.57;132.165;144.315;141.55014;-1.0;137.16
132.57;132.165;144.315;141.81635;138.51;137.16
132.57;132.165;144.315;141.7276;-1.0;137.16
132.57;132.165;144.315;141.72487;138.51;137.16
132.57;132.165;144.315;140.82889;138.51;-1.0
132.57;132.165;144.315;141.44873;138.51;137.16
132.57;132.165;144.315;141.25644;138.51;137.16
132.57;132.165;144.31145;-1.0;138.51;137.16
-1.0;132.165;144.315;141.57089;138.51;137.16
132.57;132.165;-1.0;138.91368;138.51;-1.0
-1.0;132.165;144.315;141.65906;138.51;137.16
132.57;132.165;144.315;141.32843;138.51;137.16
132.57;132.165;-1.0;139.78595;138.51;137.16
132.57;132.165;144.315;141.50937;138.51;137.16
132.57;132.165;144.315;140.89629;-1.0;137.16
132.57;132.165;-1.0;136.55838;-1.0;137.16
132.57;132.165;144.315;141.21455;138.51;137.16
-1.0;132.165;144.315;141.55539;138.51;137.16
132.57;132.165;144.315;141.56683;138.51;137.16
132.57;132.165;144.315;141.38135;138.51;137.16
132.57;132.165;144.315;141.56767;138.51;137.16
132.57;132.165;143.82074;-1.0;138.51;-1.0
132.57;132.165;144.315;-1.0;138.51;137.16
132.57;132.165;-1.0;140.19963;138.51;137.16
132.57;132.165;144.315;-1.0;138.51;137.16
132.57;132.165;144.315;141.7882;138.51;137.16
132.57;132.165;144.315;-1.0;138.51;137.16
132.57;132.165;144.315;-1.0;138.51;137.16
132.57;132.165;144.315;141.34108;138.51;137.16
132.57;132.165;144.315;140.66794;138.51;-1.0
132.57;-1.0;144.315;140.86313;138.51;137.16
132.57;132.165;144.315;140.40443;138.51;-1.0
132.57;132.165;144.315;140.65323;-1.0;137.16
132.57;132.165;144.315;141.1687;138.51;137.16
132.57;132.165;144.315;141.28601;138.51;137.16
132.57;132.165;144.315;141.20842;138.51;137.16
132.57;132.165;144.315;141.53531;138.51;137.16
132.57;132.165;144.315;140.95549;-1.0;137.16
132.57;132.165;144.315;141.35358;138.51;137.16
132.57;132.165;144.315;141.29868;138.51;137.16
132.57;132.165;144.315;141.35683;138.51;137.16
132.57;-1.0;144.315;141.26125;138.51;137.16
132.57;132.165;144.315;140.8057;138.51;-1.0
132.57;132.165;144.315;141.43692;138.51;137.16
132.57;-1.0;144.315;141.30063;138.51;137.16
132.57;132.165;144.315;141.53369;138.51;137.16
132.57;132.165;144.315;141.54422;-1.0;137.16
132.57;132.165;144.315;141.75966;138.51;137.16
132.57;132.165;-1.0;140.17003;138.51;137.16
132.57;132.165;140.70647;-1.0;-1.0;137.16
132.57;132.165;144.315;141.68658;138.51;137.16
132.57;132.165;144.315;141.6887;138.51;137.16
132.57;132.165;144.315;-1.0;138.51;137.16
132.57;132.165;-1.0;139.756;138.51;137.16
132.57;132.165;144.315;141.21075;138.51;137.16
132.57;132.165;144.23355;-1.0;138.51;137.16
132.57;132.165;-1.0;139.6436;138.51;137.16
132.57;132.165;144.315;141.12665;138.51;137.16
132.57;132.165;144.315;141.18219;138.51;137.16
132.57;132.165;144.315;141.18704;138.51;137.16
-1.0;132.165;144.315;141.5249;138.51;137.16
132.57;132.165;144.315;141.34737;138.51;137.16
132.57;132.165;144.315;141.29683;138.51;137.16
132.57;132.165;144.315;141.35513;138.51;137.16
132.57;132.165;144.315;141.1244;138.51;137.16
132.57;132.165;144.315;141.33772;138.51;137.16
132.57;132.165;144.315;141.45784;138.51;137.16
132.57;132.165;144.315;141.36371;138.51;137.16
132.57;132.165;144.315;141.25157;138.51;137.16
132.57;132.165;144.315;141.49478;138.51;137.16
132.57;132.165;144.315;141.59747;138.51;137.16
132.57;132.165;144.315;141.82875;138.51;137.16
132.57;132.165;144.315;141.77383;138.51;137.16
132.57;132.165;144.315;-1.0;138.51;-1.0
132.57;132.165;144.315;141.74768;138.51;137.16
132.57;-1.0;143.76198;-1.0;138.51;137.16
132.57;132.165;144.315;141.39914;138.51;137.16
132.57;132.165;-1.0;-1.0;135.80212;137.16
132.57;132.165;144.315;141.00003;-1.0;137.16
132.57;132.165;144.315;141.19296;138.51;137.16
132.57;132.165;-1.0;135.9514;-1.0;137.16
132.57;132.165;144.315;140.56729;138.51;-1.0
132.57;132.165;144.315;141.29195;138.51;137.16
-1.0;132.165;144.315;141.3768;138.51;137.16
-1.0;-1.0;144.315;140.81111;138.51;137.16
132.57;132.165;-1.0;139.68633;138.51;137.16
-1.0;132.165;144.315;141.52005;138.51;137.16
-1.0;132.165;144.315;141.59691;138.51;137.16
132.57;132.165;144.315;141.31651;138.51;137.16
132.57;132.165;144.315;-1.0;138.51;137.16
132.57;132.165;144.315;141.35783;138.51;137.16
132.57;132.165;144.315;141.12073;-1.0;137.16
132.57;132.165;144.315;141.3848;138.51;137.16
132.57;132.165;144.315;140.95668;138.51;-1.0
132.57;132.165;144.315;140.98457;138.51;-1.0
132.57;132.165;144.315;140.87822;138.51;-1.0
132.57;132.165;144.315;141.75517;138.51;137.16
132.57;132.165;144.315;141.77242;138.51;137.16
132.57;132.165;144.315;141.68994;138.51;137.16
132.57;132.165;144.315;141.5688;138.51;137.16
132.57;132.165;143.67787;-1.0;138.51;-1.0
-1.0;132.165;144.315;141.48451;138.51;137.16
132.57;132.165;144.25166;-1.0;138.51;137.16
132.57;132.165;144.315;141.12277;138.51;137.16
132.57;-1.0;144.315;141.19138;138.51;137.16
132.57;132.165;144.315;141.52403;138.51;137.16
132.57;132.165;144.315;141.30719;138.51;137.16
132.57;132.165;144.315;141.3904;138.51;137.16
132.57;132.165;144.315;140.93404;138.51;-1.0
132.57;132.165;144.315;141.49297;138.51;137.16
132.57;-1.0;144.315;141.26418;138.51;137.16
132.57;132.165;144.315;141.22707;138.51;137.16
132.57;132.165;-1.0;139.92308;138.51;137.16
132.57;132.165;-1.0;138.81418;138.51;-1.0
132.57;132.165;144.315;141.54536;138.51;137.16
132.57;132.165;144.315;140.88554;138.51;-1.0
132.57;-1.0;138.04266;-1.0;-1.0;137.16
132.57;132.165;144.315;141.72083;138.51;137.16
132.57;132.165;144.315;141.79376;138.51;137.16
132.57;132.165;144.315;141.23845;138.51;-1.0
132.57;132.165;144.315;141.90729;138.51;137.16
132.57;132.165;144.315;141.7152;-1.0;137.16
132.57;132.165;144.315;141.56969;-1.0;137.16
132.57;132.165;144.315;141.86755;138.51;137.16
-1.0;132.165;144.315;141.73796;138.51;137.16
132.57;132.165;144.315;141.54898;138.51;137.16
132.57;132.165;144.315;-1.0;138.51;137.16
132.57;132.165;-1.0;139.98271;138.51;137.16
132.57;132.165;144.315;-1.0;138.51;137.16
132.57;132.165;144.315;141.25139;-1.0;137.16
132.57;132.165;144.315;140.94878;138.51;-1.0
132.57;132.165;144.315;141.60759;138.51;137.16
132.57;132.165;144.315;141.50972;138.51;137.16
-1.0;132.165;144.315;141.72826;138.51;137.16
132.57;132.165;144.315;141.63583;138.51;137.16
132.57;132.165;144.315;141.52773;138.51;137.16
132.57;132.165;144.315;141.61134;138.51;137.16
132.57;132.165;144.315;141.49652;138.51;137.16
132.57;132.165;-1.0;139.99509;138.51;137.16
132.57;132.165;144.315;141.08421;138.51;-1.0
132.57;132.165;144.315;141.81172;138.51;137.16
132.57;132.165;144.315;141.12466;138.51;-1.0
132.57;132.165;144.315;141.84642;138.51;137.16
-1.0;132.165;144.315;141.93694;138.51;137.16
132.57;132.165;141.22765;-1.0;-1.0;137.16
