2_C151.15;3_C-9.47;4_C201.84;7_C-6.27;8_C130.49;10_C228.66;12_C-138.89;14_C-27.88;15_C-13.33;16_C63.6;17_C-28.43;18_C-265.65;19_C-244.05;20_C132.01;21_C-30.66;23_C-178.13;24_C-17.19;26_C121.47;29_C189.52;30_C-43.05
13.170767;1.3448002;4.320751;11.744539;16.878687;3.5157413;6.2148614;3.5528266;5.355833;1.7908108;5.1161885;1.8679135;5.094035;1.3743767;10.389086;1.7965841;4.6823177;1.8213632;1.415294;5.9866967
12.959514;1.43905;4.4795847;12.698433;18.179691;3.5185761;6.3424897;3.7142956;4.7713313;2.3675761;5.4512167;2.276523;6.0631876;1.3263795;12.17697;1.9134214;5.7087584;2.1749587;1.4690613;6.370716
15.386847;1.4203756;4.6275663;14.5056305;19.441252;3.5018792;6.8823533;4.4050717;4.7718854;2.0532556;5.822035;2.0089734;5.788981;1.390597;10.936039;1.8323517;5.2072673;1.9495159;1.233085;7.2300425
12.314711;1.3378215;4.9063654;13.193338;17.43848;3.2075012;6.4662046;3.87868;4.5744715;2.0305736;5.575387;1.7878252;5.443246;1.2387408;11.307668;1.932473;4.697983;2.0319638;1.3957002;6.78209
11.4564905;1.3201759;4.0229516;13.39391;14.853831;3.3407197;5.152354;3.2120469;4.746441;1.781132;5.4915366;2.0211253;4.67814;1.2084334;9.184732;1.5750262;4.461337;2.0182004;1.3494916;5.4791675
11.738938;1.3139409;4.1185083;13.13622;17.698673;3.1722434;6.3688025;3.0459085;4.4348197;1.8802435;5.5945563;1.6428461;5.396291;1.1736193;11.293889;1.9276295;4.254605;2.096812;1.3090522;5.995525
12.383964;1.2263502;4.340458;14.950876;15.86516;2.9059427;6.539238;3.2690902;4.693622;1.9467843;5.018987;1.6079366;5.1852612;1.1393535;10.000245;1.9465282;4.762312;2.0686843;1.353591;5.8202753
8.589154;0.8932255;3.266592;8.801583;12.411161;2.3400168;4.7553167;2.6223025;3.3453746;1.5360819;3.8953896;1.2249892;3.903576;0.86212283;7.682803;1.3590307;3.380242;1.4708501;1.0090936;4.1979623
8.082603;1.0090666;2.8825924;9.53439;12.826421;2.2360232;4.144282;2.3423262;3.1117039;1.2051523;3.267289;1.2456437;3.2928383;0.9398681;7.803417;1.1461318;2.9573705;1.4386828;0.86133736;4.1591854
7.7629175;0.813058;3.027432;7.8451796;10.801017;2.0096912;4.1810923;2.0826185;3.1317062;1.2903993;2.919184;1.0528858;2.9130416;0.7068675;6.046396;1.123118;3.224816;1.2620373;0.7699841;3.5360878
7.0127563;0.8073155;2.4536502;7.508621;9.326747;1.9681103;3.9410832;1.9730072;2.4625134;1.0461733;2.7448766;0.9998617;2.9270074;0.7607092;5.9624763;0.94894695;2.892181;1.2395598;0.8828505;3.4571757
7.2110834;0.7642105;2.4098988;7.717883;10.549174;1.7683141;3.3358967;1.9243759;2.304789;1.1594107;2.8357346;0.9275955;3.3126094;0.61372817;4.8608384;1.0209367;2.6556585;1.119236;0.8387351;3.3776367
6.3884683;0.7825717;2.8816822;7.4702125;9.879567;1.8316727;3.7474067;2.2557902;2.8339157;1.1592182;3.2648354;1.178685;3.6448188;0.7534324;6.6196136;1.109418;2.953172;1.1471795;0.79535735;3.5935016
