1_G137.1;2_G36.31;13_G-56.47;22_G63.29;23_G40.43;27_G-10.61
27.824036;26.208405;11.61216;16.664335;9.151163;17.461317
45.916176;0.0;22.863676;0.0;17.945963;31.153797
29.474253;27.36646;15.676529;18.758419;10.672552;20.076
39.31079;37.62023;0.0;23.687727;13.512175;0.0
0.0;41.453938;21.07647;24.533726;15.218832;0.0
29.965677;30.695023;0.0;18.106564;11.241732;19.530659
32.531097;28.616562;0.0;16.75216;10.240102;20.866703
19.561815;18.540867;9.220204;11.387953;7.2686357;12.6816
37.025177;0.0;16.371748;22.523907;0.0;0.0
21.471127;0.0;10.729293;13.223025;7.246581;14.823227
14.9643;14.515643;7.8205733;9.037498;5.431861;10.49766
16.140419;14.415346;7.04069;8.951395;5.3081694;9.810122
20.83057;0.0;9.681844;14.092361;7.990906;12.679425
20.11413;19.936672;9.945219;11.483759;0.0;14.091731
31.202301;0.0;0.0;20.733654;10.766783;21.902266
22.37751;23.557112;11.430102;14.922159;9.442528;16.034464
24.244247;22.704985;11.692566;14.987501;8.034569;15.386816
25.321884;27.698614;11.747441;18.15564;0.0;16.851973
23.697262;24.95511;12.695433;15.799744;10.233164;15.497922
23.84248;25.362967;11.994241;15.157079;8.475639;16.73821
22.680674;24.37209;11.313289;14.623735;8.337841;17.36647
0.0;32.45435;0.0;21.449001;13.412366;24.800388
20.81645;18.531471;10.893075;13.231128;8.327555;14.843195
35.15703;0.0;17.47225;22.840122;12.2864485;0.0
19.660807;18.549387;10.49432;14.037381;8.20142;13.926523
24.119076;22.563854;12.663546;15.3196535;9.263947;16.978909
23.427689;21.80369;11.972615;15.706873;8.532254;15.561455
22.069164;23.362549;11.932111;13.015529;0.0;16.530493
20.435678;20.892681;10.765303;13.624319;8.446995;14.865178
20.644718;20.612114;10.718806;13.427458;7.5632124;14.58016
0.0;0.0;20.321735;26.682856;15.436544;26.478046
16.957275;16.791353;7.7846537;9.818455;6.0007997;10.739651
17.3936;18.909445;9.301163;0.0;6.671959;11.758753
13.9051075;14.884459;7.369584;7.824797;5.382876;10.03449
13.4601345;13.454849;6.587578;8.352765;4.696124;9.900777
18.485855;18.42304;9.602102;11.058992;0.0;0.0
0.0;28.758038;0.0;0.0;11.841583;19.17382
17.721415;15.749472;7.7255898;10.387525;6.30937;9.979159
17.982784;17.609324;8.478844;11.52979;6.2799797;12.382289
24.384018;0.0;13.25313;15.578501;10.923235;18.847752
22.528547;22.590996;10.681057;14.5245075;0.0;18.502048
22.374466;23.004025;10.900034;13.290045;7.926629;14.511813
26.000788;25.648813;12.871007;16.065151;9.418113;0.0
26.419537;26.303217;13.882001;17.127682;10.666696;0.0
20.98986;19.904673;10.5697155;13.272586;7.6854453;14.840139
20.042461;19.856646;10.451132;12.241289;7.315795;14.952917
18.633469;19.252205;10.040824;12.881941;7.3101616;12.586165
22.61077;22.578491;12.030817;0.0;8.675016;14.343587
18.469076;19.38304;9.59847;12.050485;7.5682516;12.158354
20.302517;20.203993;10.094717;11.946995;7.9019346;14.73306
30.544092;31.771688;0.0;18.761887;11.960936;0.0
19.541231;19.683306;9.721138;11.703662;6.972946;12.92543
18.86594;19.423807;8.870565;11.240492;6.8081064;11.505864
19.139017;17.079906;9.561846;11.340616;7.133001;13.031344
17.59175;17.88506;9.017523;10.6380825;7.079768;11.851767
26.474468;22.672886;11.006899;16.35081;0.0;16.126163
20.227896;21.009817;9.7782;12.717714;7.468119;14.045642
18.905836;18.981218;9.410683;11.588045;6.828981;13.864377
18.610806;17.027216;8.4618;11.572201;6.801673;12.491803
21.468086;20.254229;10.117767;13.408847;7.8124566;0.0
19.649345;18.795975;9.5683;11.227972;7.096488;12.697593
23.902018;25.42052;11.95071;0.0;9.192377;18.05852
0.0;37.21379;0.0;25.029224;13.442349;28.46194
27.26094;25.821894;12.468874;15.672023;9.825707;16.107475
28.0805;27.83393;12.721118;17.601078;9.652173;18.102184
0.0;37.750416;18.73917;21.798183;13.706858;24.851608
27.304724;29.490667;14.889834;20.151445;11.128641;19.47739
28.03674;26.58971;14.392;17.906221;11.741396;18.7019
28.236258;29.252583;13.955165;15.966098;10.144892;19.826456
31.21568;28.4298;14.926559;17.595749;0.0;21.034739
27.215948;26.966343;0.0;17.17087;10.116949;18.872501
24.716633;23.261747;10.968475;15.067012;8.873562;16.00879
25.165318;24.16071;11.583322;14.399295;9.373457;16.645779
26.110928;26.41019;14.049879;16.19584;9.631933;18.628042
26.588223;27.978296;13.266217;17.674465;9.613811;18.9489
26.332294;23.774448;13.729477;15.770764;9.111025;18.81531
23.492981;25.384916;11.4096575;16.215534;9.360039;15.358808
24.85275;25.649084;11.113292;16.069311;9.080685;16.813105
29.901514;29.177496;15.101852;19.537914;11.263851;0.0
0.0;36.969128;21.271172;0.0;16.168737;27.71258
28.486599;0.0;14.077347;17.766079;10.648191;20.933228
0.0;27.84043;13.797206;16.022436;10.952;18.11386
23.684399;22.934275;12.066624;13.182635;8.561711;0.0
26.353033;23.774181;0.0;18.044754;10.496874;0.0
0.0;24.326176;12.967908;16.04742;9.531322;18.738667
22.925451;22.680124;11.486527;15.771034;8.048484;15.860342
25.926044;25.069393;12.767492;15.38719;9.694771;16.863993
28.310354;27.273458;13.688968;18.576847;10.953957;20.138147
34.070927;34.6849;16.674007;0.0;14.0457735;23.93131
34.637623;31.376812;16.288717;21.543245;0.0;23.280188
36.02784;34.818565;18.262093;0.0;13.0988035;25.229221
33.94848;37.227272;17.886196;0.0;13.72864;25.26661
40.51613;0.0;17.762684;24.643625;14.367015;25.408436
28.623114;26.618265;13.9875765;17.976145;10.9439335;19.524235
