2_C151.15;3_C-9.47;4_C201.84;7_C-6.27;8_C130.49;10_C228.66;12_C-138.89;14_C-27.88;15_C-13.33;16_C63.6;17_C-28.43;18_C-265.65;19_C-244.05;20_C132.01;21_C-30.66;23_C-178.13;24_C-17.19;26_C121.47;29_C189.52;30_C-43.05
8.048062;0.87727225;3.4284158;9.450987;10.527422;1.9933611;4.117425;2.487356;3.538281;1.2642015;3.5511868;1.211817;3.2618046;0.8229726;7.093727;1.1715972;3.6677651;1.2285383;1.0781057;4.101911
9.505194;1.1471517;3.259046;9.64935;13.856822;2.5214257;4.7737017;2.18673;3.4859645;1.4590764;3.9891067;1.4405093;3.7912216;0.9050722;7.360021;1.4408013;3.8086295;1.4340405;0.99890614;4.827104
9.86826;0.9576179;3.4501557;10.59599;14.917478;2.7856507;5.0442786;2.6901193;3.4595509;1.4673587;3.3643844;1.3612808;4.16437;1.0073317;6.829175;1.2255366;3.9941525;1.361029;1.0818412;5.0919847
8.105364;1.0484506;3.424514;10.420706;12.056039;2.2592456;4.562127;2.5795789;3.4819267;1.3598294;3.355217;1.2319959;4.068757;0.8327757;7.4629707;1.3669261;3.1057897;1.4693495;0.9435214;4.081794
8.943592;0.94014347;2.7870448;10.0356245;10.217235;2.4811702;4.1746182;2.3406374;3.0287507;1.361337;3.1857114;1.2319752;3.2722898;0.7689139;6.3156605;1.2323333;3.292579;1.2011923;0.9827157;3.832789
8.600149;0.9489344;2.7931209;9.261861;12.304863;2.367195;4.919103;2.1729894;3.0101466;1.2640308;3.5277755;1.1417902;3.4731126;0.9584648;6.311195;1.3402191;2.8965442;1.3878214;0.9890013;4.266707
8.382145;0.90801126;2.8461215;9.100409;12.058848;2.4157119;4.4539194;2.3008795;2.9841757;1.3244351;3.456185;1.2252208;3.5563362;0.93073606;7.0662775;1.2321457;3.0740108;1.3874338;1.1858269;4.2900534
10.421919;1.0459394;3.0164943;11.23546;14.527425;2.4583523;5.086604;2.8046393;4.0033407;1.7143009;3.6686516;1.6991489;4.5675874;0.885272;7.8320284;1.4218404;3.7267013;1.8563745;1.1204866;4.996275
9.705492;1.0080078;3.1576276;9.9296055;12.792922;2.1460762;4.7363;2.5605762;3.9728386;1.311676;3.7168279;1.408407;3.9847069;0.89832795;8.548168;1.4085262;3.7574096;1.569572;1.0119916;4.7971735
8.701161;0.9968462;3.188631;8.732703;11.278674;2.7237186;4.7999163;2.2860863;3.5000756;1.3468376;3.4425588;1.256974;3.77977;0.8496208;7.2255964;1.3012868;3.288655;1.3464706;1.0058421;4.383078
8.105399;0.8793386;2.7478566;7.9153013;11.491997;2.1120446;3.7753074;2.3266804;2.9035373;1.2687025;3.1238353;1.0271852;3.5752397;0.7543279;6.7259703;1.0627714;3.084618;1.2448158;0.7671126;3.8551242
7.295874;0.88573873;2.845255;7.003526;10.332674;1.8770062;3.9567573;2.1892605;2.936663;1.3198229;3.2672431;1.0222808;3.1666381;0.808612;6.0176897;1.1721578;3.2500553;1.220804;0.91780484;3.5833523
7.873549;0.9809532;3.0224319;9.671105;12.54872;2.4553874;3.835158;2.3034344;3.0269024;1.2961919;3.0573924;1.1210365;3.8791192;0.87452143;6.943483;1.2589824;3.7003186;1.2374823;0.8584136;3.5093136
8.882292;1.1428285;3.945556;10.427347;12.500393;2.5383077;4.4532466;2.4597623;3.5836747;1.3821512;3.7536583;1.2867514;3.7526183;1.0101734;6.8100233;1.3093916;4.0667;1.4482596;1.0732597;4.4922094
10.557569;1.3738104;3.8027215;11.767061;13.860005;2.8781285;5.8035545;3.1647632;3.9316106;1.6659514;4.5448637;1.6413524;3.9765174;1.0218923;8.692895;1.6171353;4.8095136;1.8338575;1.2125673;5.269191
13.141795;1.2230198;4.302064;11.880595;18.318954;3.2511792;5.8684106;3.5134385;4.460911;1.9463692;4.9029703;1.4798868;5.3822365;1.1935571;9.717723;1.9132338;4.7662253;1.8764999;1.2244527;5.4118915
11.197844;1.5005999;4.1949253;14.600374;17.881237;2.9407165;6.838887;3.5590053;5.215877;2.1256504;5.414077;1.9117272;5.1916757;1.2712011;10.741766;1.9494425;5.208743;1.8498074;1.3113089;7.1510634
13.498901;1.3014463;4.7859445;12.382909;16.455326;4.1609464;6.331661;3.6166527;4.4936905;1.9936905;5.0236416;1.756006;5.588316;1.3276953;9.623454;1.7919525;5.310977;1.9260416;1.4571463;7.428557
12.265088;1.2637942;4.245679;13.853549;18.881313;3.8501823;6.076338;3.290154;5.134545;1.9472933;5.6675315;1.953388;5.328189;1.36355;10.657951;1.9115826;5.2498884;1.778849;1.2176183;6.935913
