1_G137.1;2_G36.31;13_G-56.47;22_G63.29;23_G40.43;27_G-10.61
18.230263;17.421696;8.706562;11.217629;6.203537;12.203923
19.579664;19.643826;10.244286;13.404814;7.562159;12.535484
21.07596;19.269901;10.395558;13.628453;7.852651;13.669246
19.491194;18.44053;8.626505;11.649378;6.4607177;13.671003
19.338545;19.311733;0.0;12.037837;7.386632;14.898587
18.727486;17.205149;9.52936;11.037275;6.190751;12.310552
20.983618;22.073153;10.4501295;0.0;8.201582;13.837591
30.998255;0.0;15.556747;19.572586;0.0;23.30278
27.780941;27.493002;0.0;0.0;10.286908;19.174164
17.80858;19.109646;9.351797;11.727483;7.0132995;11.497174
16.402042;17.256847;8.75831;10.566772;6.0776153;10.697405
20.088022;22.41357;10.346336;13.470322;0.0;0.0
17.8384;17.120674;8.343951;12.08033;6.708238;12.422681
19.367817;19.170292;10.013448;12.164952;7.8052473;12.922934
0.0;29.274384;15.795546;18.334433;10.751997;20.429493
28.759119;27.072498;15.20788;16.695223;0.0;19.618677
26.841986;25.184788;15.477457;17.814041;9.752027;18.527773
31.44187;28.684368;13.800845;19.407541;0.0;18.61774
37.73902;0.0;17.149002;22.805033;13.595227;23.179853
34.20892;29.766947;17.08086;0.0;12.563573;22.454317
26.655201;26.485636;12.606511;15.380392;9.524615;17.979824
0.0;34.51339;14.866972;17.862873;13.392393;22.651978
21.403381;23.454191;11.520391;14.895938;8.811219;15.794797
23.939848;25.044247;11.43606;15.273375;8.557905;14.786672
0.0;30.553036;14.907906;20.213127;12.082674;23.70445
27.605642;25.21735;12.694862;18.39217;9.9042225;17.135015
27.257559;29.55956;13.851016;17.866665;0.0;20.29707
23.533401;24.302776;12.025586;15.644707;9.565032;17.01955
21.5032;26.084686;12.248832;12.88759;8.0161295;17.094713
39.458588;0.0;19.891365;26.279743;15.470221;0.0
0.0;32.59714;16.149624;19.731033;11.74859;21.007206
41.02973;0.0;19.402094;23.86248;14.7874775;0.0
34.909813;0.0;15.940863;19.604673;0.0;19.419197
42.208965;0.0;0.0;25.738857;15.343303;0.0
23.145605;0.0;12.217375;14.349007;8.779424;15.838247
24.931892;0.0;11.679115;14.688362;8.701436;15.899902
25.305733;0.0;12.134662;16.574713;9.078803;15.47064
27.83851;0.0;14.802797;19.14206;10.528548;19.635725
31.507793;0.0;16.316257;19.958511;12.011312;22.913136
35.24597;0.0;18.60393;20.924374;12.727498;23.446102
45.012493;0.0;20.422354;27.29176;0.0;30.259731
47.628296;0.0;24.400166;0.0;19.794722;34.147346
44.195393;0.0;22.306807;27.984152;0.0;30.69979
39.418922;0.0;19.61652;26.668594;13.187187;27.416058
0.0;0.0;28.695042;35.634636;23.504726;36.940025
32.643875;0.0;18.674429;22.495745;13.711418;27.209454
32.04543;0.0;17.184677;23.430984;12.559755;21.944231
47.745907;0.0;0.0;0.0;19.551727;36.859062
42.228172;0.0;22.612837;26.152325;17.501034;0.0
37.692078;0.0;18.494797;23.71088;12.901454;24.30877
43.715958;0.0;0.0;24.627542;15.941023;31.649582
33.73998;0.0;18.297464;23.355276;12.696144;22.060478
33.613213;0.0;15.9170475;19.702648;12.235976;21.877129
30.495325;0.0;16.287226;21.372776;12.901901;23.135904
31.940445;0.0;17.990177;21.207767;11.098875;22.980412
26.865662;25.389587;0.0;17.138123;10.260553;16.4647
22.069687;21.616533;9.940569;13.159782;7.856576;14.570715
23.122297;21.830738;0.0;13.4459715;8.92494;14.377699
17.960655;19.065125;8.7585745;10.757031;7.1011567;11.9319515
17.772762;18.995296;8.780263;10.734819;5.9430866;11.465971
17.625992;17.455336;9.404058;11.915785;7.5128236;13.244496
23.243452;22.956802;10.057683;13.799069;8.333652;14.095869
24.117363;23.621769;11.494899;16.072157;9.234224;18.033117
28.780252;27.17365;13.853923;16.332233;10.333244;18.410374
39.056587;0.0;19.122087;23.772507;13.895384;25.621311
28.313116;27.20075;13.7136135;18.498306;11.532019;19.914307
0.0;41.18725;19.237713;24.948008;14.497467;26.050495
26.790524;30.0331;15.461612;18.712296;11.471873;21.360905
33.24356;31.821466;18.436447;0.0;14.06811;24.063223
28.063116;25.734858;13.520798;17.325495;9.681787;18.443174
24.261177;26.038553;11.584444;15.623575;8.665774;17.547781
25.480656;25.999018;11.80372;14.387225;8.93572;17.828049
26.127193;26.269958;13.056795;17.133066;9.570257;19.270805
26.811834;28.031658;14.359497;18.13821;9.930806;19.093502
32.712143;34.655132;17.338596;20.343693;13.879262;0.0
24.421614;27.891876;13.3552265;16.49216;9.32794;18.233665
44.741528;38.674675;0.0;0.0;0.0;28.0521
26.079113;25.669888;11.942295;15.415003;9.23006;16.816721
25.807755;26.90769;13.193883;14.845194;8.973931;15.3706255
21.895063;22.975285;10.412016;13.200846;8.513888;16.965061
22.267248;19.821896;10.435033;12.884628;8.292921;15.068861
19.449448;20.335712;10.039662;11.52122;6.8690886;13.305603
27.233917;0.0;15.693308;20.12391;11.456789;0.0
18.494007;16.981983;8.753057;11.597504;6.288737;11.281822
26.137705;0.0;13.117044;16.499659;8.578436;16.809889
22.640432;20.914663;10.776785;13.642954;8.02211;13.962355
23.60371;24.57568;12.597252;17.229223;9.609599;16.903303
28.507732;26.231344;12.956044;16.081417;10.333386;18.823471
26.024479;29.428726;15.011502;18.204973;9.754515;19.813251
27.548664;26.475819;15.285782;17.986607;10.897379;19.686707
0.0;50.402596;0.0;27.57442;17.499874;31.263142
29.789917;29.313223;14.863568;18.325735;10.7049055;19.130938
28.178455;28.375357;15.874838;17.936886;11.028737;18.535069
27.033594;25.808588;13.396643;16.632046;9.9053135;18.849924
28.410404;31.539007;15.770078;0.0;11.361642;20.25131
30.24822;28.142475;0.0;18.150574;10.130401;17.72411
33.506905;0.0;18.633198;20.575562;13.258792;21.568481
31.705578;33.340267;16.663128;0.0;11.927831;23.352915
0.0;39.355705;18.535303;22.898352;14.626854;26.61115
26.106709;26.362406;13.712976;16.93912;10.2506485;18.16698
31.843832;29.434025;13.572037;0.0;10.684202;20.513016
24.134317;24.247326;12.267964;16.045448;9.77276;16.509039
25.25358;27.354757;12.093597;15.246564;9.023877;17.712307
25.339283;26.832947;12.917699;14.441549;0.0;17.194902
0.0;39.096043;18.741598;27.634678;0.0;0.0
27.827045;0.0;15.644875;17.722513;0.0;17.907063
