2_C151.15;3_C-9.47;4_C201.84;7_C-6.27;8_C130.49;10_C228.66;12_C-138.89;14_C-27.88;15_C-13.33;16_C63.6;17_C-28.43;18_C-265.65;19_C-244.05;20_C132.01;21_C-30.66;23_C-178.13;24_C-17.19;26_C121.47;29_C189.52;30_C-43.05
11.942857;1.2820302;4.382471;11.972426;19.604212;3.1482418;6.474742;3.5480914;4.3595233;2.1203434;4.9004965;1.9026506;5.8337965;1.3402983;9.712145;1.888786;4.819064;1.8042362;1.3998572;6.016816
13.690237;1.5270615;4.578464;15.204178;17.489689;3.7170792;6.284257;3.8645012;5.1281824;2.1432438;5.5254602;1.9254348;5.828269;1.4590485;11.551906;2.0206532;5.2794943;2.2768643;1.4685328;6.7077394
13.403955;1.6227432;4.3866463;14.830793;17.651037;3.2738597;6.856215;3.5623436;5.155788;2.0970213;5.236863;1.826705;5.639625;1.4443362;10.142717;1.8658985;5.167817;2.4868207;1.2697791;6.5110297
13.366631;1.5668068;4.681738;12.374058;17.145641;3.6657405;5.8612795;3.5143528;4.9623766;1.9587692;5.6104555;1.8163588;5.800724;1.2581451;10.690779;1.8319985;5.7696714;1.8624878;1.4866941;6.0598536
11.930162;1.2467363;4.105982;11.499626;16.71898;3.1455119;6.3743215;3.2527263;4.6088886;1.9693477;5.155961;1.9833982;4.937422;1.1162481;10.065512;1.6810606;4.5755672;1.9374593;1.2709254;5.765973
12.687825;1.2218835;3.8557312;13.033005;15.252213;3.3842933;5.7531233;3.6120677;4.531111;1.9196403;5.025478;1.7154175;4.3761764;1.2413247;8.644417;1.6820759;4.4364114;1.9716603;1.2728308;5.7151275
12.46303;1.1188753;4.1023245;11.862571;14.7927885;3.2765102;5.8091326;3.4606292;4.5442324;1.906572;4.7850275;1.7825607;4.567832;1.216438;9.035143;1.784681;4.9459066;2.0093884;1.1628706;5.6611357
10.39789;1.2449471;3.6776023;12.539423;13.852086;3.399056;5.3291116;3.1452038;4.3908324;1.68328;4.2410254;1.5023936;4.7816954;1.0633715;8.551101;1.6077607;4.0816565;1.6352421;1.2794325;5.0666666
9.364715;1.1122255;3.4057364;11.57822;12.756614;2.4842775;4.843368;2.8381577;3.4218392;1.6205944;4.09754;1.6852583;4.3914046;1.0852001;8.582769;1.440346;3.757133;1.6216663;1.1286303;5.3339972
9.297689;0.9600357;3.5828629;9.466104;12.990718;2.4568868;5.10025;2.575935;3.682092;1.4363915;3.9641242;1.4093716;3.6184227;0.8961283;7.7774;1.3151515;4.228457;1.3713381;1.16215;4.581975
7.9609857;1.008386;3.2966816;8.554451;12.273867;2.1847668;4.092349;2.623612;3.0780482;1.3329363;3.505631;1.1868678;3.7180939;0.7788492;7.041139;1.272545;3.499848;1.32612;0.90344703;4.2128816
8.878477;0.89136267;3.317165;8.694715;11.246995;2.3807633;4.342959;2.0855765;3.4284866;1.2408473;3.258831;1.2078091;4.067799;0.7946453;7.016658;1.2785848;3.5294633;1.2595088;0.8266835;3.9204018
8.489489;0.9970561;2.8490992;9.627974;12.846433;2.3757596;4.8238645;2.6612535;3.6401086;1.6972405;3.8653588;1.4632938;4.142156;0.8855006;7.17491;1.4511111;3.5574455;1.4129039;0.9453989;4.3860598
10.755328;1.0341471;3.3487458;10.577598;14.827665;2.834051;4.9442635;3.2625756;3.5475445;1.5273875;3.9277005;1.4589989;4.118605;1.0629625;8.564095;1.336574;4.409362;1.6114237;1.168649;4.772706
11.585573;1.1994117;4.330352;12.319;15.154019;3.1296859;6.6037245;3.5542457;4.349342;1.8821735;5.089602;1.5481813;4.5850344;1.2007802;8.538774;1.9435619;4.298558;2.0348835;1.4396217;5.567182
13.625792;1.448682;4.258002;14.512037;19.234716;3.2641945;6.7132425;3.9168313;4.7153487;1.8206432;6.365096;1.8902156;6.8944016;1.4316835;10.427813;1.9246132;4.9361396;2.2054844;1.4606168;5.9795785
14.879916;1.5406435;5.087737;14.800418;17.623135;3.0901597;7.442796;4.04119;5.407232;2.2541516;5.4080057;2.1440444;6.799019;1.2216295;11.698801;2.1045136;4.975496;2.1796117;1.3803324;6.469874
13.100069;1.5290161;5.3048077;14.811711;19.301;3.9009366;6.404195;4.3232284;4.902142;2.2910411;5.5504174;2.1365411;5.8178954;1.436411;13.330032;2.0760188;5.336539;2.3732162;1.5840528;5.8509564
13.855197;1.6155981;4.7203703;14.949572;19.143185;3.7926593;7.824289;4.3334312;5.28661;2.2855394;6.272373;1.9029446;6.803228;1.3820522;11.051091;1.9932398;5.0573754;2.4832754;1.7113953;6.5697427
14.390353;1.4964926;4.7353563;14.903224;20.565945;3.7241015;7.322104;4.0038977;4.768796;2.6322246;6.0396404;2.2004688;6.3690095;1.495627;10.871695;1.9454138;6.1971893;2.2889752;1.518899;6.791368
14.437381;1.4862051;4.502459;13.69103;18.664814;3.9093316;7.740673;3.7498925;5.631522;2.166272;5.1061068;1.9387286;5.8743477;1.4807699;10.016032;2.2146466;5.548293;2.2102246;1.560482;6.7578573
12.981687;1.4419993;4.121538;14.285062;16.852282;3.8543706;7.307157;3.2847474;4.6149664;2.043057;5.6760297;1.8261465;6.418199;1.4798381;11.619146;1.9274313;5.4751763;2.1109726;1.3465226;5.91179
13.029282;1.3639534;4.1480627;11.662276;15.142191;3.519146;6.305242;3.749572;4.549207;1.8959697;4.6357946;1.7700522;5.2925196;1.280359;9.568249;1.6586081;5.2505746;2.1804192;1.4520209;6.096518
12.60923;1.3441122;4.0119886;14.599452;15.261618;3.2557187;6.527275;3.4990525;4.699449;1.758001;4.42185;1.7092918;4.9507613;1.1843559;10.558659;1.6214077;4.229919;1.8896595;1.3439367;5.631252
9.991381;1.3599131;4.681548;13.672193;16.534435;3.722417;6.5133004;3.2987418;4.6245527;2.0031428;5.309961;1.7819958;4.9970202;1.1594307;10.305131;1.8076823;4.8917704;2.127905;1.3223233;5.2342596
15.633347;1.3967664;5.4533224;12.81409;17.687729;3.515157;6.759687;3.5397515;6.119468;2.0772805;5.2334647;1.9590254;5.2897563;1.3924227;10.95813;2.086887;5.10797;2.0547338;1.3822502;6.7730293
12.415831;1.4771047;4.3346605;14.836195;19.60154;3.781742;7.137755;3.870994;5.4290214;1.8751034;5.6361594;2.0053847;5.930785;1.297425;9.702003;1.9966745;5.7408056;2.2424595;1.5410327;6.110003
11.854592;1.5180843;4.2501864;11.687993;16.993153;3.0125957;6.0584326;3.3513172;4.626279;2.1367483;5.740516;1.7809082;4.9894147;1.1264706;9.300577;1.9159458;5.0940466;1.9370549;1.330787;6.1199713
12.692289;1.3249242;4.3983994;11.738436;18.213192;3.0362034;6.334778;3.5078683;4.563419;1.9324167;5.1132936;1.896343;4.9710827;1.1496996;10.541132;1.9342302;5.3097014;1.9223226;1.277931;5.6341543
11.2718725;1.1672063;4.103399;12.824884;17.031397;3.247213;6.7925463;3.4395223;4.271735;1.898627;4.482456;1.891586;5.6233044;1.2670752;9.649287;1.5912749;4.5393515;1.9806263;1.2924446;6.5127487
11.702879;1.1756614;4.4551997;13.935221;16.452047;3.4637215;6.5202866;3.6307838;4.353683;2.0303173;4.8003087;1.824249;4.737183;1.20704;9.59484;1.6603887;4.6596212;1.7471269;1.1973174;6.6015115
11.940245;1.1923819;3.536164;11.860177;15.693858;2.6894672;5.6223807;3.082768;3.9879768;1.7726752;4.251565;1.6660284;5.0190578;1.2029631;9.428881;1.5250013;4.3392897;1.9498218;1.1369882;5.193162
10.046783;1.102117;2.850414;10.484899;12.996295;2.9409049;5.001779;2.6977916;3.85308;1.5853186;4.4331203;1.3891566;4.491241;0.9738981;7.558614;1.5440074;3.7387505;1.5214484;1.007466;4.900902
8.945351;1.0022875;3.3396783;9.183734;11.149534;2.5092554;4.834164;2.6551082;3.1785893;1.4099382;3.7319665;1.3117366;4.237796;0.94664496;6.9129424;1.388644;3.5951474;1.4423925;1.0932696;4.5607095
7.620137;0.85293853;2.7343454;9.195947;12.568074;2.4284446;4.844672;2.1063733;2.9568493;1.2357142;3.430015;1.1426885;3.5536294;0.9314357;7.401479;1.3775337;3.6867166;1.503847;0.94921285;3.9726975
