1_G137.1;2_G36.31;13_G-56.47;22_G63.29;23_G40.43;27_G-10.61
29.089758;33.455177;0.0;0.0;12.792983;22.86304
24.624666;25.891855;13.445035;15.185138;9.757222;15.262529
25.610859;24.045033;12.363965;16.974722;10.119841;16.566444
24.304453;23.46467;12.016554;14.316385;9.211772;15.507794
21.571733;23.876156;11.457738;13.065007;8.399529;14.675174
25.61893;27.382227;12.395852;17.2169;10.006533;0.0
24.516598;24.302752;0.0;15.307014;9.668907;16.838917
20.10835;17.629189;9.734631;12.895567;7.8096375;14.072957
18.520267;18.040182;8.808883;12.074064;7.150518;12.630229
16.766825;14.881589;7.865238;10.14216;6.744704;11.261354
19.611427;0.0;10.321724;13.029386;8.301406;14.165082
0.0;28.88945;14.595976;19.021095;0.0;0.0
16.35147;16.665695;7.141884;9.892027;5.91126;11.609227
28.120539;27.213093;12.453703;0.0;9.782509;0.0
21.498438;21.177166;9.59817;12.910922;7.921879;14.923602
37.622772;0.0;0.0;21.983007;13.9724865;24.085665
23.805319;23.984594;12.27452;15.422073;8.396565;16.0182
29.506659;26.812613;12.900507;17.278055;0.0;18.99592
0.0;32.822746;16.331995;21.298576;11.625383;24.11163
24.119654;25.421135;12.162578;15.030386;8.566917;17.121746
24.843685;23.514168;11.7862835;15.843641;9.690035;14.83124
22.56245;24.182537;11.994405;14.756378;9.662977;16.674513
21.517866;20.19797;11.397768;14.022885;8.11742;16.454058
27.075144;0.0;15.969131;16.501194;10.69458;19.248482
0.0;28.899725;13.486722;17.578754;11.485492;19.44605
33.59295;38.100628;17.186512;0.0;13.620626;0.0
24.652424;23.663334;12.603888;14.667882;9.584513;16.193241
22.699596;21.523876;11.696975;15.059542;9.194049;15.56322
20.711231;21.746906;10.511564;13.240908;7.7005525;14.905767
19.194748;21.208292;10.785955;14.211527;8.688345;16.33349
0.0;38.969933;0.0;24.602097;0.0;26.413265
15.24292;16.399038;8.199062;10.95542;5.7682295;11.4653
0.0;23.953129;11.401064;0.0;9.082733;16.860167
0.0;22.291897;11.254194;13.989481;8.958406;0.0
15.667648;0.0;8.355707;10.200755;6.382964;11.02499
13.0360775;12.268301;5.9856157;7.468337;4.9527817;8.95137
13.505635;13.797757;6.535956;8.070649;4.994912;8.469388
14.741069;15.002813;7.595207;9.956738;5.5632424;9.819639
0.0;22.28162;10.899448;13.324132;8.186399;17.172527
18.10667;19.200054;9.68925;11.807657;7.212874;13.137576
20.0425;19.287474;10.519812;11.784639;7.4824433;14.423558
24.151726;21.200619;10.559412;14.043861;0.0;16.783102
29.879633;28.6474;0.0;0.0;10.340625;18.588146
