1_G137.1;2_G36.31;13_G-56.47;22_G63.29;23_G40.43;27_G-10.61
132.57;132.165;-1.0;-1.0;136.94055;137.16
132.57;132.165;144.315;141.7255;138.51;137.16
132.57;132.165;144.315;141.86342;138.51;137.16
132.57;132.165;144.315;141.78249;138.51;137.16
132.57;132.165;144.315;141.81456;138.51;137.16
132.57;132.165;144.315;141.30034;138.51;-1.0
132.57;132.165;-1.0;140.3037;138.51;137.16
132.57;132.165;144.315;141.9648;138.51;137.16
132.57;132.165;144.315;141.98763;138.51;137.16
132.57;132.165;144.315;142.0239;138.51;137.16
132.57;-1.0;144.315;142.11197;138.51;137.16
-1.0;132.165;144.315;141.39325;-1.0;-1.0
132.57;132.165;144.315;142.0302;138.51;137.16
132.57;132.165;144.315;-1.0;138.51;-1.0
132.57;132.165;144.315;141.89911;138.51;137.16
132.57;-1.0;-1.0;139.98692;138.51;137.16
132.57;132.165;144.315;141.84889;138.51;137.16
132.57;132.165;144.315;141.56163;-1.0;137.16
-1.0;132.165;144.315;141.93279;138.51;137.16
132.57;132.165;144.315;141.78743;138.51;137.16
132.57;132.165;144.315;141.88412;138.51;137.16
132.57;132.165;144.315;141.74644;138.51;137.16
132.57;132.165;144.315;141.86723;138.51;137.16
132.57;-1.0;144.315;141.81384;138.51;137.16
-1.0;132.165;144.315;141.95357;138.51;137.16
132.57;132.165;144.27148;-1.0;138.51;-1.0
132.57;132.165;144.315;141.71384;138.51;137.16
132.57;132.165;144.315;141.78583;138.51;137.16
132.57;132.165;144.315;141.91624;138.51;137.16
132.57;132.165;144.315;141.86641;138.51;137.16
-1.0;132.165;-1.0;138.02084;-1.0;137.16
132.57;132.165;144.315;142.09674;138.51;137.16
-1.0;132.165;144.315;-1.0;138.51;137.16
-1.0;132.165;144.315;141.63895;138.51;-1.0
132.57;-1.0;144.315;142.17606;138.51;137.16
132.57;132.165;144.315;142.07721;138.51;137.16
132.57;132.165;144.315;142.0883;138.51;137.16
132.57;132.165;144.315;142.13089;138.51;137.16
-1.0;132.165;144.315;142.07172;138.51;137.16
132.57;132.165;144.315;141.91962;138.51;137.16
132.57;132.165;144.315;141.89647;138.51;137.16
132.57;132.165;144.315;141.69516;-1.0;137.16
132.57;132.165;-1.0;-1.0;136.94574;137.16
132.57;-1.0;144.315;141.82877;138.51;137.16
132.57;-1.0;144.315;141.97807;138.51;137.16
132.57;132.165;144.315;141.93814;138.51;137.16
-1.0;132.165;144.315;142.03665;138.51;137.16
132.57;132.165;144.315;142.05643;138.51;137.16
132.57;-1.0;144.315;141.5144;138.51;-1.0
132.57;132.165;144.315;141.97386;138.51;137.16
132.57;132.165;144.315;141.75412;-1.0;137.16
132.57;132.165;144.315;141.9499;138.51;137.16
132.57;132.165;144.315;141.90498;138.51;137.16
132.57;132.165;-1.0;140.5193;138.51;137.16
132.57;132.165;144.315;141.99179;138.51;137.16
132.57;132.165;144.315;142.09288;138.51;137.16
132.57;132.165;144.315;142.12529;138.51;137.16
132.57;132.165;144.315;142.06868;138.51;137.16
132.57;132.165;144.315;142.14595;138.51;137.16
132.57;132.165;144.315;141.59894;138.51;-1.0
132.57;132.165;144.315;142.17273;138.51;137.16
132.57;132.165;144.315;-1.0;138.51;137.16
132.57;132.165;144.315;142.01788;138.51;137.16
132.57;132.165;-1.0;140.48395;138.51;137.16
132.57;132.165;144.315;141.98305;138.51;137.16
132.57;132.165;-1.0;137.9413;-1.0;137.16
132.57;132.165;144.315;141.91487;138.51;137.16
132.57;132.165;144.315;142.00748;138.51;137.16
-1.0;-1.0;144.315;142.05464;138.51;137.16
132.57;132.165;144.315;141.97876;138.51;137.16
132.57;132.165;144.315;142.03506;138.51;137.16
132.57;132.165;144.315;141.49236;138.51;-1.0
132.57;132.165;144.315;142.0592;138.51;137.16
132.57;132.165;144.315;142.0899;138.51;137.16
132.57;132.165;144.315;142.0362;138.51;137.16
132.57;132.165;144.315;142.00763;138.51;137.16
