2_C151.15;3_C-9.47;4_C201.84;7_C-6.27;8_C130.49;10_C228.66;12_C-138.89;14_C-27.88;15_C-13.33;16_C63.6;17_C-28.43;18_C-265.65;19_C-244.05;20_C132.01;21_C-30.66;23_C-178.13;24_C-17.19;26_C121.47;29_C189.52;30_C-43.05
9.5265255;1.095259;3.3632798;9.525259;12.343353;2.8285441;4.9561543;2.9907565;3.4718463;1.5210996;4.165045;1.3288524;3.72193;0.9223405;7.861699;1.5746157;3.973516;1.5952818;1.2393675;5.0681586
12.451664;1.2605518;3.718446;11.178495;15.344015;2.547828;4.8987684;3.188311;3.9138007;1.6621487;4.3569055;1.4796832;5.172611;1.1088932;7.8220215;1.6189989;4.132297;1.9046412;1.2450774;4.97717
11.879067;1.1968108;3.5590672;11.967395;14.845245;2.8783994;5.972508;2.8628936;3.896038;2.033134;4.0985727;1.6123683;5.2369456;1.0231321;8.713756;1.7129748;4.2588987;1.873862;1.077539;4.9954224
10.494997;1.1754267;3.5139794;10.339015;14.67809;2.9590256;4.9749126;2.9771466;3.7251334;1.5375032;4.5539436;1.568641;4.6047297;1.083169;7.716417;1.3842514;3.726335;1.8394501;1.0554323;5.013065
8.509499;1.153031;3.9445503;9.907722;13.541975;2.7447317;4.782001;2.7941265;3.605027;1.4704312;3.948876;1.5309405;3.9642448;0.9743767;8.302484;1.4703639;4.147645;1.4323726;1.0099243;4.7347603
9.676176;1.201031;3.9377785;9.743293;12.481862;2.5019307;6.1371717;2.812901;3.568864;1.5191568;4.025648;1.3458313;4.1913385;0.9707447;8.0314045;1.494931;4.289353;1.535314;1.2902415;4.275782
9.994716;1.090859;3.8755264;10.980794;13.001346;2.5177245;5.8753552;2.9050486;4.06442;1.3840792;4.1845484;1.2595037;3.485723;1.0198845;7.206315;1.6206146;4.021018;1.450326;1.1371423;4.3769813
8.256648;0.79788095;2.523308;7.332366;11.222915;1.9343464;3.4253845;2.4052563;2.9248154;1.3538716;3.1106632;1.0899956;3.6009166;0.8079106;5.817523;1.1961198;3.5979125;1.2522159;0.68985856;3.972485
7.3955946;0.77999824;2.5713995;6.9407587;10.409525;2.0786183;4.14667;1.8685627;2.6984706;1.2927132;3.1244311;1.1270139;2.743516;0.7700751;6.435054;1.1465065;2.5923946;1.081207;0.78394175;3.6007042
6.4568453;0.78662765;2.2616625;7.357511;8.99914;1.813908;3.4621246;1.7989985;2.6162612;1.1297491;2.45088;1.0074506;2.7968602;0.7476283;5.5106993;0.9369599;2.6322951;1.0072834;0.7137431;2.9348881
6.2011194;0.6594345;2.4291892;6.444258;7.13563;1.4936981;3.2391243;1.8643408;2.2643437;1.1168153;2.3008199;0.9432341;2.8055873;0.6424104;4.942493;0.9317579;2.5538583;1.0079752;0.6628315;3.2033348
5.589457;0.619243;2.4438617;5.478189;8.181577;1.4108236;3.6896691;1.5893984;2.1372433;1.076695;2.426661;0.9003874;2.5689762;0.72556955;4.6187234;0.77539605;2.5783987;0.9182026;0.6333016;2.793069
6.510436;0.7875409;2.2743852;7.0721993;9.443296;1.6332495;3.162234;1.8816483;2.272983;0.98155725;2.842237;0.9348459;3.0852711;0.69311994;5.885015;1.0810893;2.7819562;1.0242867;0.6852379;3.1349554
6.968852;0.94476444;2.333605;7.6248703;11.446727;2.0651944;4.0644684;1.9904728;2.6084125;1.1062438;3.2715964;1.1056455;3.530294;0.7561136;6.587237;1.1762038;2.6198978;1.0869472;0.8018427;3.9705188
8.002764;1.0106714;3.3507817;8.548793;12.606854;2.3553555;4.7574496;2.5196657;3.4923973;1.3770589;3.4794278;1.1537597;3.7817485;0.8439924;7.823041;1.1625664;3.7693336;1.4109728;0.9463897;4.4892983
9.404895;1.0685823;3.1354024;10.063398;11.456111;2.310349;4.5204124;2.4330525;3.466864;1.5358157;3.7189827;1.2186183;3.9495587;0.9901099;7.414315;1.3166906;3.7869976;1.4515821;0.8989989;4.424958
10.046976;1.1214074;2.976247;10.059616;14.582132;2.7399216;4.3390946;2.7619812;3.846726;1.4456255;3.9406273;1.3722979;4.273617;1.0596569;8.308995;1.4833138;4.036814;1.6462109;1.127132;5.1532855
10.541547;1.1684431;3.4551938;11.371503;13.514872;2.8038366;4.9395475;3.0522923;3.456026;1.6027434;3.730919;1.6604286;4.237571;1.0953331;7.5374694;1.4226265;3.960425;1.5174156;1.0015743;5.8050356
9.870689;1.1955248;3.8530433;9.927015;13.027628;2.631619;5.3620076;2.7003076;3.789933;1.800236;3.9399285;1.4579613;4.183696;1.0372789;7.786419;1.4475162;3.5937085;1.5296866;1.207897;5.110228
9.471544;1.0537305;3.3612244;10.789282;13.086148;2.947394;5.812257;2.854091;3.577578;1.5015459;4.077981;1.3643951;4.2116146;1.0091841;8.467388;1.6903023;4.14762;1.6270688;1.2338277;4.710947
8.742174;1.0147307;3.2417274;10.800315;12.953028;2.5599625;5.1661196;2.962621;3.460688;1.559391;4.3029623;1.5168478;4.3274984;1.0867116;7.877926;1.3848917;3.9950573;1.3928045;1.1457196;4.6631036
9.173098;0.92512655;3.1852875;10.738486;13.633514;2.3416576;4.595817;2.9059215;3.7392097;1.5032905;3.34883;1.4250576;3.952232;0.90307295;7.7755537;1.435763;3.8182015;1.4803698;0.9797057;4.8681793
8.888397;0.9653125;2.9931834;8.242544;12.227976;2.0584512;4.2934637;2.5412521;3.5238762;1.4552416;3.6384892;1.3483185;3.8084235;0.8967347;6.824472;1.2118373;3.3271956;1.300172;0.9165546;4.2760634
8.52336;0.96475637;2.9987035;8.772289;11.67479;2.2374396;4.382203;2.40989;3.2521908;1.3753237;3.4570267;1.1945957;3.8674507;0.79358166;6.9009376;1.1976935;3.417192;1.3427281;0.9844011;4.2519846
8.811845;0.95988464;3.0732112;8.851039;11.803892;2.1688848;4.6673865;2.7638173;3.5542054;1.3365163;4.151441;1.2910067;3.7384179;0.94264853;7.7230964;1.3144498;3.4131336;1.4069716;1.0644395;3.6743317
9.437798;1.0938345;3.5569406;9.931008;12.183138;2.5183785;4.8969593;2.736228;3.8617387;1.6485281;4.0071383;1.4938158;4.047366;0.96653974;8.5519085;1.2417586;4.2660155;1.5082227;0.9616068;4.897321
10.643606;1.0141143;3.59636;10.164485;15.506159;2.6204305;5.3020244;2.48578;3.5228474;1.4834851;4.3462424;1.6884092;4.3385553;1.0768424;6.842681;1.3370677;3.91859;1.5063306;1.0123117;4.5279093
8.769891;1.084202;3.1040578;9.786779;12.567778;2.4592853;5.117238;2.3868701;3.5229175;1.2206681;3.877438;1.4000549;4.3219566;0.8408114;7.0566015;1.2319384;3.9189496;1.5273371;1.0665481;4.456159
8.954094;0.9507391;3.046716;8.084366;11.456966;2.2435;4.673188;3.0781124;3.4236934;1.3496834;3.00681;1.1599336;3.8918984;0.8031577;6.3351374;1.2868482;3.3990026;1.4086009;0.82118577;4.1510215
8.538984;1.043065;2.9043014;7.5207567;10.945089;2.4009082;4.353419;2.5589685;3.0435054;1.3003542;3.4357853;1.2467765;3.888207;0.803964;6.8341675;1.2960345;3.2171166;1.4475167;0.95230734;4.5593696
9.134059;1.1587257;3.309819;7.959613;10.656787;2.2442691;4.4215446;2.3920553;2.832849;1.3383054;3.496714;1.191618;4.1780663;0.7567373;6.334767;1.3067763;3.5769951;1.187489;0.9693445;4.0856333
11.179216;1.1887306;3.5950742;11.255021;13.658197;2.8016124;5.5622215;3.024389;4.1329765;1.6922508;4.5050225;1.3523598;4.185324;0.9497202;8.813771;1.5894984;3.7700677;1.7190927;1.1774313;5.152314
10.205907;1.1291391;3.146832;9.465353;12.051047;2.5211334;4.812968;2.5660746;3.7311988;1.6735213;3.9480157;1.4240729;4.1646633;0.90935916;7.9019103;1.6414684;3.8418324;1.3896818;1.1007458;4.8325753
8.120515;1.0749496;2.8706002;8.68626;13.876836;2.5369573;4.9048223;2.2802787;3.4802966;1.5773194;3.4195428;1.3813484;3.745398;0.8450614;5.554592;1.3121785;3.4459262;1.2400213;0.83144397;4.5570617
8.230845;1.0070808;2.7025483;8.47537;10.326283;2.4046483;4.189827;2.3853872;3.1763413;1.5487411;3.134299;1.2408068;3.7290795;0.70193875;6.2218466;1.286407;3.497499;1.0730094;0.9186646;4.070101
8.605293;0.97921544;2.7526672;7.2653055;10.259779;2.159474;4.114195;2.3756378;2.756025;1.3154281;3.3889077;1.1691108;3.1870105;0.760594;7.5031996;1.1126075;3.333611;1.2503817;0.93132657;3.7458122
8.952929;0.83106583;3.1033778;8.910297;11.25398;2.6731534;3.9785514;2.2831922;3.2048142;1.439398;3.5886505;1.2305639;3.9067688;1.0093045;6.320806;1.3936656;3.6030636;1.3706754;0.90777415;3.7574604
11.044737;1.0904652;3.3813872;10.787865;12.825772;2.749648;4.50287;2.435595;3.2849705;1.506861;3.9532928;1.3436275;3.814468;0.9589294;7.697301;1.5070668;3.5012214;1.5950788;1.1492434;4.759042
10.742636;1.2503946;4.013172;11.112039;14.043852;3.4545388;5.55166;3.2710412;4.2530413;1.9467666;4.474448;1.5206721;5.314503;1.1088492;8.887251;1.8276793;4.644965;1.783807;1.2595758;5.3777933
11.41987;1.3945104;4.9246607;14.127536;18.250711;2.9796383;6.5375605;3.3499417;4.379964;1.834902;4.9452167;1.7428358;5.5700874;1.2266729;11.03231;1.9073919;4.71671;1.8601805;1.5251216;6.2503824
12.78898;1.4424353;4.3227243;12.641996;15.123405;3.159101;6.787773;3.4984403;4.9291496;1.852388;4.822995;2.267094;6.1134834;1.3618796;11.896832;1.9736551;4.8712807;2.007525;1.4099078;6.201186
12.894438;1.4788811;4.464518;11.945546;18.348867;3.4099739;7.116777;3.489531;4.6916723;2.0593567;6.1334796;1.8142093;6.7269516;1.3775569;9.071162;1.9572554;5.063152;1.9878784;1.4129976;6.2537975
14.250737;1.3409045;5.0514336;13.50985;19.274572;3.4028008;6.091523;3.8936048;5.4132;2.181684;5.568992;1.8939488;5.605071;1.3192711;10.502689;1.7928835;5.0446157;2.1403568;1.5579993;6.461637
11.761099;1.3342807;5.090226;14.000728;20.448069;3.8224647;6.9177794;3.7251618;5.4990325;2.1352153;4.8442774;1.9399481;5.564569;1.3130426;11.629774;1.8892063;4.748888;2.0197656;1.2740743;6.1011586
12.517759;1.4446142;3.9584172;12.613899;19.474905;3.38516;6.6473985;3.5112805;5.3107414;2.1841953;5.074296;2.1874852;5.9135427;1.1830385;10.866964;1.8480713;5.176615;2.1786332;1.2959559;6.595069
13.332212;1.2607071;4.0525866;11.599623;18.70438;3.0431874;6.6613083;3.222089;4.87136;1.9772571;4.60362;1.5945396;5.38549;1.170419;10.574754;1.5403688;4.8068647;1.7837772;1.5194987;6.1851187
10.04373;1.2073164;3.6540332;13.548978;17.926876;3.0016587;6.3693347;2.6767933;4.827079;1.9975376;4.592231;1.5854216;5.429744;1.1809896;8.730654;1.939238;5.0866165;1.8471419;1.264786;5.754479
12.220723;1.2949575;3.850802;10.671857;15.439688;3.1135716;6.009536;3.54338;4.0275517;1.6150863;4.5827394;1.7358669;4.9530044;1.0798204;9.770814;1.7048798;4.6882825;1.7032264;1.1954467;4.9525204
12.571826;1.3314728;4.313535;11.533008;16.027813;2.8113241;6.1546264;3.169343;4.6510363;1.8324562;5.230292;1.5017596;5.282665;1.1021836;8.77162;1.4865366;4.2417293;1.7831154;1.314964;6.2631445
13.329214;1.3594596;4.222331;13.181317;17.50166;3.2832909;6.0954123;3.6418445;4.3521323;2.1986513;5.5318255;1.8518804;6.0642295;1.26597;10.1412735;1.7506323;5.7305408;1.8818257;1.4743233;5.8131847
13.323219;1.395709;4.2559423;11.891977;16.788195;3.1653037;6.015205;3.539102;4.8126116;2.0516844;5.2318525;1.8430119;4.5885735;1.2172098;11.348537;2.206116;5.0930066;1.9657009;1.4265004;5.8355613
10.703466;1.3801868;4.384407;11.464813;14.6575575;3.3868206;5.841872;3.970436;4.37179;1.8325412;4.317845;1.5528221;5.435073;1.0511374;8.601248;1.6952307;4.8034143;1.957785;1.2773353;6.0342855
11.671794;1.2061081;4.49387;12.240581;15.907927;2.8692698;5.4390616;3.8195152;4.03485;1.706955;4.799466;1.536577;5.0175853;1.0634406;9.537739;1.6270097;4.9634466;1.9389414;1.3864238;4.905087
12.326732;1.1671064;4.263659;10.963549;14.748009;2.765916;5.3456016;3.4287415;4.2532053;1.8450453;5.1576943;1.5946242;4.6110406;1.1741667;10.067439;1.8219204;4.561174;1.8615713;1.3854258;6.425912
11.706566;1.1945163;3.9375827;11.68878;15.112457;2.8892865;5.451115;3.4379284;4.217573;1.8056421;4.7681293;1.7671276;4.844372;1.1036123;8.745489;1.6669639;5.2038245;1.8201292;1.3805298;5.738929
10.724479;1.3201284;4.1746955;11.601367;16.17134;2.980805;5.97323;3.2489884;3.9573307;1.6670215;4.713929;1.478618;5.1723013;1.189491;10.146169;1.9498314;4.5849724;1.8471754;1.3487444;5.1374273
11.230824;1.0394785;3.453895;11.092207;13.18027;3.3248024;5.42127;2.6724024;3.5474522;1.431712;3.9805477;1.6597706;4.3340044;0.98581016;8.365844;1.4069544;3.7661812;1.5679843;1.0917217;5.0837903
9.975609;0.9617475;3.3011467;10.197233;12.184375;2.5571938;4.5684314;2.6666164;3.2965195;1.4061396;4.7270374;1.3853636;3.7987583;1.0122306;7.5279703;1.4888529;3.756361;1.5133647;1.0024111;4.5675154
9.238794;0.96974593;3.2858422;8.856326;12.255973;2.187191;4.178277;2.3493664;3.0129104;1.3551321;3.4361176;1.284711;3.8140817;0.90366983;7.167652;1.3273168;3.0954366;1.5527067;1.0042652;4.3643794
7.9800386;0.8740157;2.886755;8.512373;12.474103;2.3045666;4.3531637;2.0467148;3.0229874;1.3016984;3.6215599;1.1573877;3.1987443;0.90278643;7.047072;1.4095078;3.1387467;1.3064718;0.9287082;4.0048957
8.625689;0.9979192;2.9963756;9.110522;12.431692;2.703691;4.4109945;2.7244983;3.8611183;1.6477852;4.2203093;1.3949903;4.3356986;0.90886;7.7498255;1.3892103;3.6113372;1.5411184;1.1007898;4.4660406
11.44858;1.1665872;3.2764156;10.946672;13.137772;2.729061;5.5811563;3.2155025;4.2585764;1.5493294;4.5488405;1.6232065;4.847831;1.1816308;8.298154;1.3523775;3.7471871;1.8819029;1.0334911;5.4197736
11.4151325;1.2914624;4.21435;12.404417;17.397703;3.1084561;6.523043;3.3826275;4.6833854;2.1072385;4.5997734;1.7384303;5.618908;1.1507261;9.447641;1.6631298;4.975417;1.9197708;1.3868527;6.1807184
13.005361;1.4270749;3.938664;12.739879;19.070017;3.2862098;5.696518;3.895475;5.4079213;2.045629;5.369533;1.9559437;5.866212;1.2624013;11.815428;2.1109133;5.0902534;2.1954257;1.7267463;5.6140113
12.7361555;1.6053795;4.6665597;15.100139;22.073568;3.4793935;7.261135;3.950254;5.0388117;2.2424622;5.949832;1.9929184;5.6125603;1.3187588;9.820907;2.1876268;5.0048237;2.1867304;1.5776266;6.6106973
14.538196;1.5486166;4.751828;15.767659;21.249094;3.796476;7.377449;3.8677273;5.4932356;2.3133848;6.244738;1.9822462;7.0556426;1.303702;11.204481;2.2762203;5.4230895;2.5401175;1.6115272;6.4688234
13.922008;1.7778463;5.650205;15.134024;20.512253;4.2690167;7.5938463;4.3037987;5.1810904;2.26623;6.3180056;2.284344;6.271356;1.329943;11.578084;2.0825782;5.9907746;2.1187334;1.5305117;6.62477
15.052042;1.7111804;5.0146494;14.165149;18.277702;4.133651;7.2480345;3.997111;5.0520563;2.1115494;6.186674;2.3123155;6.033652;1.3954909;11.905751;2.1748824;5.4123893;2.1756425;1.4609088;6.619956
13.249881;1.6456726;4.8162117;15.368777;19.142385;3.3889656;7.149869;3.91744;5.6345987;2.1468372;6.150271;2.1987948;5.4768543;1.4145422;10.154994;1.9569027;5.291828;2.4368896;1.5799581;7.227455
12.794816;1.4333818;4.601367;15.825815;17.68971;3.5305016;6.0468035;3.6009972;5.4270844;2.3420882;5.671073;2.077461;5.939803;1.3650777;8.862056;1.9282783;4.627906;2.0149715;1.5590596;6.6870127
12.695357;1.3997195;4.9603295;11.402727;18.995033;3.5921445;5.8629904;3.8495648;4.64338;1.8359352;5.299485;1.7595284;5.2506294;1.4834292;10.369835;1.8892195;4.9089065;1.8906872;1.3064607;5.6213064
11.296034;1.4190788;3.5696163;11.707548;18.687222;3.254408;5.4139123;3.4061666;3.8594985;1.9170611;5.171827;1.7033756;5.2118506;1.2342465;8.84474;1.5749729;5.2297506;1.9122232;1.3022006;6.0879607
10.952389;1.5068896;5.048632;12.669625;18.41393;3.4362233;6.651222;3.3087277;5.011023;1.8068308;4.7518477;1.7184105;5.5284066;1.3589319;9.828585;1.7320439;4.5514593;2.2272658;1.3759779;6.3251047
15.708423;1.3588115;4.8414516;14.81929;18.00798;3.5806587;6.498984;4.0409827;5.4816976;2.048779;5.6470766;2.0645459;5.555706;1.4912093;11.117044;2.1589234;5.6193414;2.3026607;1.5267934;5.896593
13.0866375;1.415756;4.667326;13.98527;18.536404;3.6543727;7.216422;3.739077;5.001631;2.2446017;6.443203;2.2915435;6.163452;1.3997269;11.075827;1.973532;5.7604156;2.2862062;1.5489655;6.742261
12.592395;1.4623668;4.313092;13.619013;17.717686;3.1558456;6.773631;3.3883858;4.8317156;1.8989557;4.964229;1.6773412;5.5032525;1.4316229;10.156944;1.8147271;4.4087553;2.0823948;1.4472761;5.578814
11.556163;1.4534876;3.598476;14.002901;16.865278;3.5356374;6.7684846;3.6775804;4.4102087;1.5516564;4.870398;1.7274191;5.134195;1.3557221;9.921526;1.5586498;4.871433;1.7425182;1.391497;7.314721
12.860553;1.3526062;4.5631776;12.3258705;17.342281;3.1478348;6.2291055;3.6651604;4.428315;1.9771678;5.5045137;1.8471358;5.7595925;1.1369331;9.684246;1.9340467;5.201643;2.007898;1.521243;5.891229
12.17972;1.412499;4.213472;12.072111;16.749058;3.0337138;5.7031503;3.528851;4.355504;1.9100692;5.2428718;1.7154417;5.2457147;1.176255;10.93273;1.8634899;4.7744627;2.1734884;1.3814166;5.7683797
11.283319;1.3361964;4.002239;12.163596;17.605745;3.1268585;5.531214;3.6253955;3.7012706;1.7606558;4.6341944;1.5967276;4.850917;1.0735258;9.74146;1.4869708;4.283436;1.7294874;1.2147186;5.90858
9.320316;1.0596595;3.1454387;11.010839;14.72261;2.6014142;5.3298583;3.1051545;4.162286;1.6964298;4.144904;1.64804;4.6231995;1.241866;7.997216;1.4379218;3.863111;1.8320343;1.0749929;5.466624
