1_G137.1;2_G36.31;13_G-56.47;22_G63.29;23_G40.43;27_G-10.61
0.0;29.095264;15.426924;19.169949;0.0;20.511797
0.0;29.666315;15.506991;18.029434;11.273712;20.676973
22.390068;23.505955;11.767108;15.423984;8.537615;15.348619
22.206497;21.38091;11.03138;12.502724;8.005446;15.040146
28.50127;28.521307;0.0;0.0;10.612147;18.712421
20.425682;20.720257;9.758104;12.446328;7.861612;15.000099
20.769478;20.894829;9.701712;12.438258;7.8868613;14.942136
16.34443;16.093433;8.670196;9.8876705;6.087049;11.232432
16.008865;13.001828;8.129156;10.593588;5.7396116;11.071262
13.988197;13.281668;6.4686227;8.77817;5.8821993;9.945534
16.40349;14.505026;7.8848343;9.437357;5.650772;0.0
11.902231;12.710562;6.319696;8.001537;4.665087;8.429486
18.453077;0.0;9.695372;11.396784;6.8098006;12.743028
18.571571;19.354465;9.447668;0.0;6.686412;13.268442
16.364279;20.051071;9.347648;12.529134;7.5640626;12.110661
0.0;38.645405;0.0;0.0;15.088162;27.07228
26.310833;29.196064;13.069959;0.0;0.0;19.563553
21.858747;22.160002;10.64539;12.409465;7.8515143;14.18965
19.81415;21.422592;10.043778;13.052877;7.422994;14.8827
30.640087;32.56324;15.136637;0.0;10.865352;0.0
20.25454;19.62399;9.763684;13.778651;7.560425;14.356863
0.0;25.448948;12.43403;16.782578;9.971105;19.182398
17.374575;18.310196;9.196878;12.030241;7.005805;11.881944
17.808355;17.514608;9.724529;10.7593975;6.7702737;12.486685
18.262262;18.466114;10.450251;11.840389;7.167566;11.599947
26.220947;28.753891;13.492923;16.898136;0.0;0.0
19.857561;21.041683;10.089789;14.086886;7.673874;15.369192
17.360882;19.902239;9.903603;12.376852;7.3984003;13.892733
22.272888;20.72373;10.305577;0.0;8.146177;13.426
16.636915;17.045168;8.401348;11.784859;6.3903236;13.07789
23.548405;22.617117;11.478994;0.0;0.0;16.387142
0.0;38.833794;0.0;24.971342;0.0;29.245382
22.837357;23.944544;12.022947;0.0;9.049217;16.09037
18.924286;17.05849;9.460245;11.804678;6.8442063;12.739384
42.155296;0.0;0.0;0.0;0.0;31.491861
18.363;18.008797;0.0;11.718504;7.154621;15.034988
25.514633;0.0;10.488434;14.306082;8.630539;15.869041
21.198984;20.77118;9.187169;12.141174;7.3837585;14.377887
24.849356;27.01858;0.0;18.045315;9.424589;18.208319
25.455173;25.612125;14.3652935;16.936794;10.318119;18.78605
25.863428;25.233688;14.381862;16.397068;9.284762;19.811893
27.017746;27.138416;14.636747;15.699661;9.534574;19.229738
32.686436;33.58866;16.853214;21.981218;13.163907;0.0
0.0;38.201782;18.175228;21.723337;14.267874;25.154907
34.704735;0.0;17.019022;23.163033;14.84068;25.234112
0.0;35.25109;16.816824;20.982576;12.503898;23.658926
24.934433;24.938484;13.007803;15.031288;9.071681;17.12175
21.424719;24.27324;12.708925;14.703282;9.668144;16.672916
23.711206;25.57885;11.216022;15.170389;9.2310505;17.85784
33.155865;32.32324;15.660955;20.288666;11.13838;0.0
25.644745;25.028524;13.319504;17.192528;10.426918;17.806385
23.496838;25.001553;11.84651;14.193082;9.099844;16.465036
25.146744;24.07548;11.986362;14.653476;9.027334;16.652721
0.0;32.34674;16.112076;19.470463;11.92086;21.150175
28.409428;28.242477;13.892258;0.0;11.159887;18.580124
27.00737;25.43905;14.017714;15.760061;0.0;18.674122
20.188877;21.137516;11.0487385;13.15842;8.595347;15.711225
25.52972;0.0;13.856424;16.820631;9.749158;17.077738
17.82338;17.55211;9.515944;11.937866;6.83602;13.041122
17.699295;17.396078;8.760434;10.509424;6.417717;12.747324
20.127193;19.508469;9.349968;11.96604;7.408862;13.0247755
22.054472;21.712158;12.362758;14.065062;8.471495;13.818959
25.225313;24.44228;13.572029;16.786285;9.179838;17.439621
36.76994;0.0;18.02505;20.912271;14.002283;25.416422
36.803635;33.296394;18.045383;21.710257;12.713594;0.0
42.26425;42.941547;0.0;0.0;15.925011;29.31131
28.888601;30.816141;15.076004;19.184322;12.117964;22.419111
28.5996;28.155218;15.343252;18.920382;11.548674;21.526798
33.58094;32.882557;13.88542;21.342731;0.0;20.578352
0.0;35.871788;18.36533;21.863468;13.884729;25.4874
39.167168;0.0;19.222845;24.685923;0.0;27.599615
