2_C151.15;3_C-9.47;4_C201.84;7_C-6.27;8_C130.49;10_C228.66;12_C-138.89;14_C-27.88;15_C-13.33;16_C63.6;17_C-28.43;18_C-265.65;19_C-244.05;20_C132.01;21_C-30.66;23_C-178.13;24_C-17.19;26_C121.47;29_C189.52;30_C-43.05
13.88255;1.4862096;4.871943;13.296382;17.906658;3.644781;7.509021;3.8340793;5.0865364;2.274353;6.2593994;2.1524923;5.488264;1.2937268;11.563053;2.1934862;5.0692697;2.1941319;1.465317;6.980929
13.716322;1.7121785;5.346981;15.800169;21.061886;3.9110649;8.142378;4.9613266;7.1522484;2.7314422;7.085864;2.268774;7.630431;1.6297176;10.988011;2.380712;6.2460318;2.3385549;1.8909696;7.0311294
16.21442;1.8493553;5.5217876;18.239727;23.441635;4.341501;8.121384;4.7102838;5.4242706;2.2999523;6.28857;2.407135;7.6966753;1.6613839;12.875956;2.0882568;6.1349816;2.3735206;1.5927483;7.568807
15.08898;1.7489636;5.468669;14.993631;22.17143;3.5110269;6.652919;4.1586084;5.601472;2.1890292;6.429847;2.1377788;5.8068786;1.509839;11.560996;2.001615;6.1738505;2.2714653;1.7162377;6.8178573
13.362559;1.6220144;4.6250296;13.486404;18.693626;3.7530174;7.758635;3.8064423;5.326001;2.1005368;5.4553313;1.8657873;5.904189;1.4922327;10.516276;2.0838568;4.6682553;2.3972569;1.6305411;6.7292986
13.710091;1.4802417;5.456176;15.23539;18.550074;4.0140653;7.004369;3.7907543;4.4206247;2.4087806;5.403578;2.1512318;6.5297294;1.2210847;10.86543;1.9950612;5.025715;2.2072654;1.4984486;7.2777977
14.383871;1.5254229;5.510857;14.225408;21.48924;4.2990837;6.5332313;3.5517755;5.2003794;2.13167;5.746739;2.028602;6.624644;1.3547375;11.303093;2.0456743;4.9093046;2.167516;1.6296889;6.384613
13.925212;1.7285525;4.6523805;14.04357;19.854435;3.6544642;6.874028;3.8270657;5.9269776;2.0019088;5.215243;1.9748449;6.6932936;1.4576296;11.2255;1.9306244;5.504542;2.178569;1.3128536;7.509515
11.9709835;1.2508171;4.3135085;11.54551;18.152056;3.7471886;6.1032267;4.174953;5.1236987;1.9152095;5.0553446;1.8175228;5.2981653;1.4721953;10.544313;1.877827;5.3289704;1.99487;1.3648733;5.715093
12.16407;1.4399675;4.0650826;12.138387;16.134571;3.1298227;5.6256533;3.0935497;4.0074863;2.0500538;4.5495696;1.7580318;5.165914;1.0564829;9.787397;1.8076909;4.0029883;2.0591478;1.3447154;5.09477
10.493505;1.1351049;3.6589608;10.032518;14.790461;2.6558695;5.6097784;3.3032658;4.4347095;1.6323093;4.576337;1.5955974;4.4812427;1.0612556;8.69982;1.6299858;4.264552;1.5927023;1.0435119;5.261283
9.4335;1.1606302;4.155454;10.909834;13.171163;2.9508424;5.257596;3.2039807;3.829908;1.6232154;4.1168127;1.5386934;4.376142;1.0390067;8.991177;1.5617442;4.063504;1.5068921;1.183821;5.1341467
9.844864;1.2065362;3.78755;11.665517;14.642881;3.0398672;5.852601;2.9717278;4.7215943;2.016936;5.1497416;1.72907;4.825297;1.0604291;9.225317;1.5782826;4.3576922;1.8172877;1.1275518;5.556527
12.02567;1.3299843;4.626135;14.239174;17.679012;3.5871034;6.8179293;3.67457;4.2882786;2.0884547;5.9585733;1.739448;4.969945;1.2723731;9.907231;1.7855797;5.3670673;2.0197577;1.371333;7.2334604
15.239431;1.5793576;5.1745515;15.578641;18.383177;4.018525;8.015633;4.1812615;5.40689;2.447783;6.41725;2.193006;6.549006;1.4599136;12.393259;2.2890544;6.09646;2.5106778;1.6321919;7.6151443
17.29542;1.6201261;5.5071454;16.374746;24.34908;4.39954;8.395803;4.7584066;6.618959;2.4087574;7.157576;2.2084215;7.336385;1.5439522;13.566419;2.234045;6.1583414;2.6758342;2.0285132;6.855241
16.456362;1.6163143;5.7288594;19.449688;20.765003;4.233587;9.566853;4.233453;5.9676676;2.8253474;6.5240617;2.550283;7.5733385;1.5587822;15.817409;2.145113;6.8253794;2.8194656;1.9718176;7.7887983
