2_C151.15;3_C-9.47;4_C201.84;7_C-6.27;8_C130.49;10_C228.66;12_C-138.89;14_C-27.88;15_C-13.33;16_C63.6;17_C-28.43;18_C-265.65;19_C-244.05;20_C132.01;21_C-30.66;23_C-178.13;24_C-17.19;26_C121.47;29_C189.52;30_C-43.05
15.193243;1.7542442;5.0123663;15.883211;22.939306;3.8846912;8.647642;4.6785264;5.6971383;2.3452673;5.42914;2.2036223;6.4468637;1.5664282;13.336017;2.0400624;5.3572702;2.1466892;1.6317408;7.821391
15.872709;1.881645;5.917985;17.941336;23.200476;4.522554;9.004301;5.0783;6.250477;2.8138473;6.6294694;2.1442409;6.537787;1.6308763;13.850385;2.3205526;6.9405527;2.5966945;1.9457203;8.180744
16.02173;1.9340136;5.8365855;18.554184;23.262905;4.3932805;8.416445;4.8786726;5.7900343;2.6799989;7.1083975;2.5316322;8.029268;1.7776228;13.778633;2.760108;6.6093254;3.2198951;2.0257702;8.399378
15.283606;1.7566723;5.154436;15.501248;23.32028;3.963532;8.61075;4.526065;5.3961926;2.3777986;6.941686;2.5205932;6.0736127;1.4767945;12.959582;2.3151188;6.291383;2.9836318;1.6431402;6.674446
14.405174;1.7163283;5.1964808;16.144785;21.588211;3.6817017;8.477999;4.757035;5.2874827;2.3082883;6.72426;2.1031108;6.231017;1.3075885;12.25191;2.0770738;6.167283;2.381818;1.8195839;6.7700396
14.262144;1.7581198;5.6980715;14.519284;21.02416;3.8935685;7.5484214;4.6909847;5.306349;2.3741422;6.3615375;2.0623074;6.656462;1.6231111;13.25085;1.9684635;5.662679;2.5992846;1.759896;7.2633576
14.987729;1.9263073;5.5007353;14.145429;20.235697;4.0435133;7.7715936;4.2866106;5.324521;2.2336643;6.6791;2.0585263;6.495897;1.4854853;12.653873;2.18971;5.898468;2.6406689;1.589738;7.134841
16.678883;1.6638772;6.043277;19.083921;20.546192;4.1980906;6.83946;4.4513;5.7558665;2.7877142;6.5217857;2.2588987;7.024335;1.4860299;11.631021;2.7024567;5.5088744;2.3657095;1.8630447;6.8246017
14.749651;1.6166645;5.3539095;15.261854;19.911228;3.8209426;7.261748;4.037899;5.5473804;2.2996411;5.84326;2.2964394;6.13684;1.4981598;12.003447;2.2876635;5.8894815;2.3774352;1.7288847;6.4893045
12.866135;1.2457011;4.5159707;13.30502;20.44926;3.4462695;7.012314;4.1272454;5.492649;2.309126;5.663462;1.9966488;5.509682;1.4479855;9.999069;1.8273414;5.091035;1.9982183;1.4851593;6.4178796
12.250395;1.3586191;4.6252203;12.410445;18.54552;3.3747144;5.7826986;3.1161292;4.9510837;1.9153198;4.8914866;1.7596918;5.853152;1.2807417;9.591448;1.9391806;5.136556;2.154752;1.3777239;6.2180204
12.554065;1.3704557;3.9909267;12.137252;17.813934;3.3174338;5.352363;3.3436065;4.5157967;2.0581822;4.7819786;1.5754335;5.226886;1.2229282;9.728698;1.9601278;4.68125;1.9760468;1.2108567;6.1996927
13.677986;1.3307436;4.7311707;13.090131;17.5709;3.4349308;6.5444503;3.9147942;4.451771;2.3171382;5.035542;1.9719998;6.0244703;1.289802;11.204994;1.8602116;5.269587;2.163259;1.5799205;5.7170725
16.141863;1.4318827;4.9851637;12.99013;21.680876;4.0614614;7.0471;4.2414813;5.2963085;2.235986;5.893092;1.8881763;6.8382835;1.550339;11.715102;2.2629857;5.5844045;2.2804306;1.6301502;7.354947
