1_G137.1;2_G36.31;13_G-56.47;22_G63.29;23_G40.43;27_G-10.61
32.330997;33.21375;15.402002;19.986568;11.611361;23.401112
35.01508;33.514675;18.893167;22.363028;13.591669;23.963339
41.48133;43.450962;0.0;24.359016;14.324643;27.3565
46.670563;0.0;20.743387;25.11196;16.100964;29.146103
36.545597;36.585102;0.0;22.924166;13.225014;24.576754
0.0;41.2631;20.176884;25.826736;15.762036;28.904226
32.227097;32.64479;15.341647;19.39067;11.903198;19.607084
32.537254;31.536997;16.340908;21.845303;11.756121;24.115633
31.842352;30.342606;14.591705;19.442762;10.487516;21.482952
0.0;49.344204;23.590092;27.237085;17.837551;0.0
27.72356;27.109655;12.172107;16.278011;9.89535;16.882847
43.285725;0.0;22.765554;26.72088;14.093837;0.0
28.584146;27.274286;13.741594;15.944071;10.580492;18.62534
35.07718;33.55932;15.559736;21.33527;0.0;23.590443
39.576588;43.57024;0.0;27.421707;15.737257;29.003689
36.527946;38.78861;19.76363;23.999332;14.2302;26.599705
70.976425;0.0;34.06439;0.0;25.76502;47.235874
56.317085;0.0;28.487589;37.740593;23.168432;40.19965
49.536263;54.232178;27.283245;33.579388;18.810568;0.0
42.24629;40.478306;20.843716;25.387249;16.40666;30.135584
41.716187;41.549374;20.26707;26.173014;17.060045;26.629705
0.0;50.054974;26.641247;33.951447;19.534016;33.664284
40.33543;36.252686;19.770473;22.549686;14.437912;25.926517
0.0;50.638176;24.20549;31.044857;16.621632;30.502888
48.182022;0.0;23.12607;31.036015;19.027477;34.523064
0.0;52.571136;29.037327;33.40181;21.565882;36.153767
43.09797;38.407246;19.757553;25.956394;15.627153;29.211788
40.858166;36.77419;19.619427;22.861217;13.903111;26.737263
34.746723;35.048508;18.004017;21.722225;12.743966;26.068268
38.320362;37.05849;18.847473;22.918047;13.90134;25.99007
37.318108;35.27084;18.836784;23.999979;14.805008;25.286186
33.34581;30.501965;14.79601;19.89535;11.922791;22.273958
29.874466;28.660442;15.494925;19.707817;11.112557;20.174633
36.46441;0.0;17.777548;23.38057;13.746152;23.539371
24.649675;25.725357;12.299369;17.106428;9.050492;18.08365
24.647259;23.866728;12.224744;16.981367;9.125393;18.130081
24.83327;25.996674;13.555616;15.080496;9.124403;17.140545
28.974365;29.651901;13.368135;18.17506;10.234464;20.079958
36.793346;39.7922;20.699453;23.536459;0.0;29.134464
40.58654;34.060978;17.579477;25.443314;13.393954;25.653934
48.484352;48.06853;23.899748;31.93813;17.721706;0.0
0.0;52.33213;30.114359;34.587414;21.734823;35.848328
47.08466;47.767075;0.0;28.564938;18.070326;33.454426
42.513264;40.49638;20.677717;28.470255;16.969513;27.430729
59.47874;57.533844;0.0;0.0;20.667355;38.27558
47.577095;45.835693;24.181831;0.0;17.219994;32.31083
33.82056;35.29897;17.0726;22.514944;13.560022;23.199833
33.15213;35.97487;17.68011;21.096697;12.965118;23.685421
41.996117;37.813683;0.0;24.002254;16.418478;29.66982
47.412445;44.5579;22.58356;0.0;16.701223;32.833515
40.115875;39.477924;19.449926;26.377445;16.501926;29.639423
37.468987;37.221394;16.618359;22.451004;12.985415;25.408276
32.41928;37.53772;17.706272;20.863216;13.776688;23.107027
40.32784;40.177788;21.196777;0.0;15.68927;29.412928
41.341236;0.0;22.532558;30.473501;17.660381;29.951334
23.383371;25.51685;13.473471;14.403012;9.39848;17.559498
25.24416;24.979826;11.62935;13.528275;8.701653;16.805283
0.0;44.812553;22.981724;27.30427;0.0;0.0
20.061045;20.50932;10.864637;12.2466345;7.869548;14.439066
27.138271;0.0;13.711385;16.39733;9.422801;17.680597
22.73257;21.261223;10.790775;13.181288;7.6723547;13.635449
24.378489;24.436792;12.743154;13.8637085;8.6726265;18.357409
30.211447;33.77221;0.0;18.922672;12.584791;20.836605
29.659397;29.263819;17.32134;19.597872;11.419137;22.617794
44.985027;43.506176;22.298681;26.211323;0.0;0.0
37.409737;36.440517;0.0;21.626062;15.639592;24.940243
33.427055;33.302834;17.360733;22.483738;12.724837;22.84998
35.268337;31.271526;17.218817;22.216326;12.347687;21.928118
33.311836;33.577145;15.272995;20.473795;12.061003;22.546448
28.982916;29.945953;14.866394;18.806694;10.606807;20.183033
27.60053;29.832523;14.441165;15.889593;11.009902;19.479042
0.0;37.368603;18.963783;22.326172;14.220392;24.394266
34.79699;32.82618;0.0;21.100195;11.887823;21.49958
31.02052;31.368109;17.899002;20.16263;11.69658;20.57633
