2_C151.15;3_C-9.47;4_C201.84;7_C-6.27;8_C130.49;10_C228.66;12_C-138.89;14_C-27.88;15_C-13.33;16_C63.6;17_C-28.43;18_C-265.65;19_C-244.05;20_C132.01;21_C-30.66;23_C-178.13;24_C-17.19;26_C121.47;29_C189.52;30_C-43.05
17.792759;2.0020535;6.4130096;18.391764;21.494015;4.6429505;10.026413;4.362127;7.1724386;2.818686;7.8357406;2.5296938;8.077267;1.837884;14.858629;2.383179;6.7481523;2.977129;1.8693016;7.884548
17.044483;2.2143252;5.845858;19.483536;25.420467;5.5122485;9.769563;5.0026956;6.9019976;2.7340672;7.965754;2.5933895;8.682552;1.9318367;16.772282;2.7467434;7.7302046;3.0779495;2.218084;8.536589
17.308546;1.8353589;6.579432;20.026766;24.90599;4.9937625;8.809832;6.12721;7.3019853;3.113121;7.240618;2.7055454;8.897774;1.9816586;15.192591;2.7242455;8.025047;2.9019547;1.8483944;9.061434
17.506544;2.143617;5.5805807;15.863437;23.887241;5.019314;9.493662;4.6717863;6.5569544;3.3422954;8.0155;2.5005803;7.6361494;1.6353022;14.143759;2.5226803;7.060954;2.5979428;2.134975;8.389086
17.81811;1.5622337;5.4763403;18.146551;21.166264;3.8609672;8.254888;4.567541;5.572814;2.8456106;6.685338;2.4674008;7.4647446;1.46732;13.449675;2.4820497;6.317585;2.383742;1.8375698;8.86689
16.781185;2.1573765;5.4996977;18.693638;22.3543;4.6406837;8.734591;4.522428;5.7992525;2.6078281;6.787001;2.4515743;6.5902495;1.6067955;14.085851;2.674685;7.2650957;2.7369792;1.8474032;8.188929
18.128628;1.7121181;6.4591966;17.820957;21.949093;4.628152;8.366364;4.546023;5.9872785;2.627096;7.1924796;2.576525;7.5285864;1.7199147;13.55442;2.7574267;7.1071434;2.9070296;1.8856853;8.381592
18.697327;1.9827969;6.5799546;19.990952;21.697233;5.016471;9.501982;5.3476543;7.477698;2.735664;7.85464;2.5338612;7.890888;1.8833288;16.2701;2.5532122;7.397944;2.7450857;1.9502369;8.236659
17.070438;2.035822;5.0045214;17.724825;22.710783;4.2019167;8.94367;4.801633;5.3108664;2.5393462;6.3848734;2.0116355;6.612822;1.5522544;14.174553;2.139497;7.4156394;2.3750172;1.6177566;7.7104864
14.311046;1.6217165;4.7126703;14.61553;17.466982;4.1550965;8.193001;3.560473;5.265797;2.5031865;6.1413035;2.407948;6.860532;1.5776515;11.556045;2.2493942;6.239959;2.3259363;1.7827088;7.070698
12.842859;1.648125;4.9213753;16.016096;18.594486;3.4006786;6.156594;4.183483;4.845374;1.8986409;5.4505653;2.029704;7.175435;1.1731917;10.011253;1.8301045;5.3463917;2.5382285;1.3625003;6.3082633
13.52464;1.4590176;4.724782;15.73443;17.086002;3.2401347;5.6360345;3.9159687;5.1822877;2.4981303;4.8778563;1.834377;5.6938467;1.3992047;11.562239;1.8915002;4.997563;2.3382306;1.4035149;6.3103523
13.394742;1.3364708;4.569339;15.986951;19.472128;3.9780679;7.3300653;3.6628666;4.9539604;2.5475545;5.703306;2.2281268;5.729134;1.4652097;13.242714;2.2887435;5.5073404;2.7264822;1.5108457;6.8290915
17.193151;1.8298609;5.800167;18.287703;20.147589;3.8576798;7.94023;4.5470753;5.7626123;2.3881779;8.720628;2.3705018;7.555593;1.6401367;12.432699;2.6288;6.55076;2.7022557;1.8460243;8.490588
17.052952;2.1065679;6.385859;19.973583;26.932001;5.0133686;9.816554;5.419778;6.79534;3.0856128;9.185911;2.8226705;8.472577;1.9906204;14.552378;2.6229234;7.282135;3.0556529;2.0695975;9.707512
20.250002;2.424971;7.8260126;21.067974;29.152317;4.8211946;10.566568;5.999691;7.9193826;3.1912527;7.435735;2.8619344;8.958303;2.1651459;15.533147;2.97898;8.654681;2.913654;1.8595858;9.144723
20.967825;2.5368748;6.4808006;22.599422;32.33181;5.8632555;11.302975;6.075523;8.5582905;3.3209033;8.1905775;2.9390376;10.810493;2.574317;19.883875;2.9476647;9.888498;3.7573655;2.3002834;9.243864
24.689644;2.446303;7.056306;23.562805;28.108784;5.876251;12.255575;5.9742537;8.090512;3.4024062;8.195997;3.1005445;9.27541;2.270763;19.183243;3.1455438;9.534941;3.683926;2.31646;10.133116
25.030079;2.1938987;8.955975;23.668102;29.198547;5.5979414;12.040013;6.646215;8.994867;3.6475015;9.301808;3.4655023;8.899041;2.2912576;17.162228;3.2268872;10.34363;3.235417;2.383435;11.565294
20.391598;2.4197392;8.302526;21.808321;29.061762;6.184615;12.304526;6.712931;8.497068;3.5937982;9.613373;3.141304;10.537181;2.2198048;18.739487;3.3879406;8.853591;3.8152893;2.6221538;10.479345
20.119217;2.3836272;6.758504;22.68211;30.96381;6.5327463;10.98556;6.5225134;8.99832;3.7758565;8.97743;2.9615347;9.814649;1.9513623;18.339285;3.1999993;8.239905;3.1363454;2.351352;11.330236
21.35046;2.228068;6.7896194;20.604704;28.592112;5.509478;11.343256;5.62725;7.9813676;3.005135;8.505327;3.0474467;9.358975;1.7242393;16.939844;3.1325693;8.543127;3.1539407;2.2824876;10.40969
21.49423;2.1102476;6.7485094;20.41576;30.184032;5.104055;8.829434;5.9126496;7.978788;3.06214;7.7563834;3.018243;9.110869;1.9289919;14.444882;2.839613;8.560455;3.386602;2.5677097;9.634743
19.324844;2.0000317;5.812492;20.49122;27.75621;4.7093496;9.085218;4.945758;5.984865;2.5824306;7.621914;3.1180518;8.365606;1.7884232;14.517038;2.5685303;7.5897355;3.447953;2.335627;8.223099
20.685852;2.0751386;6.4348593;21.944523;26.595098;5.081312;9.691569;5.5492635;7.049614;3.610273;8.615914;2.7680511;8.31538;2.0158052;16.811445;2.6962316;8.107037;2.7212503;2.2662892;8.212512
22.562403;2.2856717;7.3091445;22.859653;31.60213;5.181674;11.507398;6.3332305;8.408545;3.7864952;8.231232;2.7969947;9.350988;2.4299672;17.072048;3.2578042;8.819504;3.5513413;2.1370769;11.115456
21.804232;2.388664;8.156951;21.125431;29.862087;5.600338;11.029323;5.5119224;8.600781;3.3511589;8.758299;3.419412;9.446392;1.9819193;16.537254;3.0774724;8.680118;3.476807;2.255614;10.203066
19.906149;2.3336759;7.22935;19.49393;26.57459;4.6256614;10.673611;5.710387;7.7523017;3.7550209;7.530532;3.0569081;7.788691;1.9617596;15.966356;2.7512898;8.323359;2.9552526;2.283796;11.412038
17.821697;2.1514986;6.7525787;20.616018;26.865473;4.6222734;9.729628;5.2361817;7.0351562;3.0798895;7.0454664;2.8265066;8.633921;1.899905;16.233181;2.972845;6.0677624;3.0460465;2.0237796;8.680056
19.531086;2.093679;6.98482;19.558292;27.834919;5.2295814;9.297625;5.530123;6.8777018;2.9137447;8.08141;3.071619;7.746788;1.9045076;16.350382;2.651778;6.837709;3.1436343;2.3192892;8.235277
19.917171;1.9488617;6.533892;20.110964;26.072735;5.395509;10.259796;5.4828453;7.3913145;3.223322;8.184474;2.6153417;7.833702;2.0340369;14.828313;2.9275153;7.6756606;3.3206005;2.127562;8.734367
17.482708;1.6334102;5.6935873;17.34704;21.655888;4.4624524;8.660442;5.013708;5.0200973;2.4922056;5.989145;2.0752378;7.087138;1.5840544;11.976137;2.4136682;5.93361;2.5639317;1.821072;7.772832
17.72997;1.6018202;5.4949045;14.795688;17.875437;3.8369584;7.381761;4.4349594;5.6910715;2.4214444;6.136496;2.2103333;5.997387;1.5152543;11.87042;2.0544078;5.429122;1.9200027;1.6015692;7.8546586
12.003988;1.4951313;4.615787;14.127901;17.670767;3.5493522;7.0562487;3.548452;4.8086314;1.9958814;5.3206005;1.7424133;5.762368;1.351551;9.579892;2.0199718;5.3768725;2.1029005;1.5115343;6.5600686
11.876359;1.204827;4.582307;12.553428;15.144107;2.6974235;6.723016;3.4837348;4.2995505;1.9326303;5.342617;1.858065;5.4171104;1.2678032;10.241146;1.8854746;4.75319;2.0965078;1.3348503;6.2504334
13.4732485;1.1020197;4.4351473;12.18292;18.595299;3.3677878;5.8325276;3.3196952;4.8111043;2.029527;5.09345;1.9702511;5.351438;1.139668;9.371668;1.7436612;5.0765877;2.1717863;1.4226085;5.7857337
14.206238;1.3428186;4.8471437;12.300641;17.931229;2.9693313;5.932365;3.534658;4.852599;2.1673846;5.60548;1.9664171;6.0158386;1.3656713;10.89551;1.8955882;5.1373944;2.1655896;1.6041613;7.0084314
13.162631;1.8686845;5.5191274;17.013103;18.787128;3.646399;7.8225083;4.3924932;5.34853;2.3862524;6.9623156;2.2262564;6.1275525;1.4949251;12.398165;2.2903197;6.158838;2.4737525;1.6717098;7.960601
17.393972;1.935498;5.8659186;19.486485;22.308256;5.237981;8.123217;4.1757364;6.1577034;2.3606296;7.7922773;2.453529;6.71772;1.5711901;13.9164;2.8831792;6.2883673;2.6992962;1.9901584;8.147685
17.55074;1.967399;7.401067;18.99415;27.023212;4.846348;8.970294;5.447196;6.0937643;2.8909006;7.4762573;2.5627956;8.491771;1.7802387;15.022707;2.6033008;7.3046465;2.4452362;1.9336554;10.210306
19.651424;2.0604053;6.334575;21.386623;26.469498;5.317638;9.634489;4.9250603;6.991365;2.9175262;6.476323;2.8435495;8.5422535;2.0229425;15.921382;2.991039;7.33076;3.5350811;2.2270424;8.438928
19.589;2.0627415;7.151361;22.00015;27.510517;5.0693035;10.3103895;5.8425303;6.896098;3.6010423;7.4540877;2.8714457;8.315663;2.349577;14.845614;2.8666022;8.681996;3.0083804;2.2184532;8.335966
19.028666;2.027377;6.91302;22.123013;25.918015;5.070199;10.842971;5.413864;7.4316583;3.107832;7.869761;2.7230234;9.031735;2.0118222;14.269366;3.1653183;7.4892387;3.3264306;2.5231647;9.7347975
20.067348;2.1581516;6.1871204;20.504587;27.774633;5.170005;11.247746;6.875825;6.905364;3.3580594;8.78294;3.0155234;8.37056;2.1261477;14.918234;2.971151;7.5314283;3.3002033;2.2276225;9.558771
19.557034;1.8886671;7.7083044;23.358768;27.236176;4.822402;10.193743;5.587518;8.201395;3.059493;9.311987;3.0443816;8.693351;2.157762;15.285812;2.4835906;8.346913;2.714382;1.9787182;9.621115
19.418833;2.3138363;6.441237;22.875965;29.38154;5.050258;9.237036;5.0263453;6.743676;2.647019;8.131034;2.7686179;7.9531164;1.8098348;15.384649;2.5878246;8.025092;3.6274421;2.05093;9.025508
18.138657;1.624255;7.0376053;18.35886;21.992641;5.38908;9.155861;5.3773284;6.614955;2.4683871;7.072728;2.3424802;8.316893;1.8039843;11.599451;2.8225825;6.0891166;2.9444518;1.9327567;9.052174
16.785084;1.6502781;5.276588;16.636723;24.598438;5.149388;8.796948;4.805378;6.1707945;2.5217419;6.278765;2.580441;7.2289114;1.5259285;12.998749;2.5050159;6.888688;2.8513312;1.8059337;7.535042
16.810776;1.9036067;6.0442615;20.846493;25.206497;5.03708;8.276876;5.2141943;6.4461594;2.762879;8.427385;2.4735303;8.364814;1.7601233;13.493617;2.3861685;7.2899804;2.8177857;1.6947712;8.73823
18.814938;2.1359324;6.843477;20.80546;27.374126;5.247066;11.164586;4.772477;7.6800585;3.293031;7.86638;2.685062;9.792622;1.8763144;15.55604;2.7469335;7.6357346;2.8258634;2.2897856;10.286226
