1_G137.1;2_G36.31;13_G-56.47;22_G63.29;23_G40.43;27_G-10.61
132.57;132.165;144.315;141.13928;138.51;137.16
132.57;132.165;144.315;141.30421;138.51;137.16
132.57;132.165;144.315;141.26454;138.51;137.16
132.57;132.165;144.315;141.13087;-1.0;137.16
132.57;132.165;144.315;141.54124;138.51;137.16
132.57;132.165;144.315;141.29405;138.51;137.16
132.57;132.165;144.11328;-1.0;138.51;137.16
132.57;132.165;144.315;140.5418;-1.0;137.16
132.57;132.165;144.315;140.91269;138.51;137.16
132.57;132.165;144.315;140.5963;138.51;137.16
132.57;132.165;144.315;140.57216;138.51;137.16
132.57;132.165;144.315;140.6133;138.51;137.16
132.57;132.165;144.315;139.58093;138.51;-1.0
132.57;132.165;144.315;140.56793;138.51;137.16
132.57;132.165;144.315;141.02191;138.51;137.16
132.57;132.165;144.315;140.76486;138.51;137.16
132.57;132.165;137.94537;-1.0;-1.0;137.16
132.57;-1.0;144.315;140.8976;138.51;137.16
132.57;132.165;144.315;140.76097;138.51;137.16
132.57;132.165;144.315;140.6346;138.51;137.16
132.57;132.165;144.315;141.19244;138.51;137.16
132.57;132.165;144.315;140.44865;-1.0;137.16
132.57;132.165;144.315;140.7533;138.51;137.16
132.57;-1.0;144.315;140.95418;138.51;137.16
132.57;132.165;144.315;141.1176;138.51;137.16
132.57;132.165;144.315;141.21793;138.51;137.16
132.57;132.165;144.315;141.36243;138.51;137.16
132.57;132.165;144.315;-1.0;138.51;137.16
132.57;132.165;144.315;141.34859;138.51;137.16
132.57;132.165;144.315;141.37146;138.51;137.16
132.57;132.165;144.315;141.14317;138.51;137.16
132.57;132.165;144.315;140.91971;138.51;137.16
132.57;132.165;144.315;140.93481;138.51;137.16
132.57;132.165;144.315;140.52266;138.51;137.16
132.57;132.165;144.315;140.50488;138.51;137.16
132.57;132.165;144.315;140.54747;138.51;137.16
132.57;132.165;144.315;140.59363;138.51;137.16
132.57;132.165;144.315;139.97949;-1.0;137.16
132.57;132.165;144.315;140.84717;138.51;137.16
132.57;132.165;144.315;140.86621;138.51;137.16
132.57;132.165;144.315;140.88742;138.51;137.16
132.57;132.165;144.315;140.71385;138.51;137.16
132.57;132.165;143.32564;-1.0;138.51;137.16
132.57;132.165;144.315;140.65356;138.51;137.16
132.57;132.165;144.315;140.51822;138.51;137.16
132.57;132.165;144.315;140.97098;138.51;137.16
132.57;132.165;144.315;140.88615;138.51;137.16
132.57;132.165;144.315;140.67076;138.51;137.16
132.57;132.165;144.315;140.37439;-1.0;137.16
132.57;132.165;144.315;141.20576;138.51;137.16
132.57;132.165;144.315;141.33957;138.51;137.16
132.57;132.165;144.315;140.56403;138.51;-1.0
132.57;132.165;144.315;141.41519;138.51;137.16
